Date,Name,Symbol,Market Cap ($),Price ($),Circulating Supply ($),Volume (24hr) ($),% 7d
2020-11-22,Cardano,ADA,4503848489.46,0.145,31112484646,2294032111.65,44.0
2020-11-29,Cardano,ADA,5184554213.26,0.167,31112484646,1731327207.42,15.11
2020-12-06,Cardano,ADA,4942739300.77,0.159,31112484646,886137949.41,-4.66
2020-12-13,Cardano,ADA,4790208946.24,0.154,31112484646,675025744.79,-3.09
2020-12-20,Cardano,ADA,5039863586.81,0.162,31112484646,729191687.34,5.21
2020-12-27,Cardano,ADA,4804453143.56,0.154,31112484646,1578354821.33,-4.67
2021-01-03,Cardano,ADA,6377915101.91,0.205,31112484646,2303857908.87,32.75
2021-01-10,Cardano,ADA,9486050469.15,0.305,31112484646,3732911205.62,48.73
2021-01-17,Cardano,ADA,11818146766.16,0.38,31112484646,5617481333.52,24.58
2021-01-24,Cardano,ADA,11010118426.55,0.354,31112484646,2539663711.43,-6.84
2021-01-31,Cardano,ADA,10730622858.42,0.345,31112484646,2455679992.05,-2.54
2021-02-07,Cardano,ADA,20634977898.63,0.663,31112484646,11252055619.87,92.3
2021-02-14,Cardano,ADA,26396411404.87,0.848,31112484646,7159401195.16,27.92
2021-02-21,Cardano,ADA,34239897894.76,1.1,31112484646,7042361463.64,29.71
2021-02-28,Cardano,ADA,40696967234.71,1.308,31112484646,15732556180.22,18.86
2021-03-07,Cardano,ADA,36209148044.41,1.133,31948309441,4204795553.57,-13.36
2021-03-14,Cardano,ADA,33838166627.22,1.059,31948309441,3738147940.13,-6.55
2021-03-21,Cardano,ADA,37991018691.37,1.189,31948309441,4064084726.69,12.27
2021-03-28,Cardano,ADA,38054391213.0,1.191,31948309441,2397009015.72,0.17
2021-04-04,Cardano,ADA,38063850600.58,1.191,31948309441,2166855013.88,0.02
2021-04-11,Cardano,ADA,40470031448.36,1.267,31948309441,3636786442.55,6.32
2021-04-18,Cardano,ADA,40750096835.49,1.276,31948309441,7454680286.47,0.69
2021-04-25,Cardano,ADA,34767757835.28,1.088,31948309441,2465672138.12,-14.68
2021-05-02,Cardano,ADA,42389411930.29,1.327,31948309441,1994291745.91,21.92
2021-05-09,Cardano,ADA,56566463236.9,1.771,31948309441,8065503275.69,33.44
2021-05-16,Cardano,ADA,73772243227.06,2.309,31948309441,12524150427.14,30.42
2021-05-23,Cardano,ADA,42345452943.9,1.325,31948309441,9297651822.65,-42.6
2021-05-30,Cardano,ADA,50391384963.26,1.577,31948309441,4974774760.29,19.0
2021-06-06,Cardano,ADA,53617195304.14,1.678,31948309441,1748045654.76,6.4
2021-06-13,Cardano,ADA,49783857547.19,1.558,31946342227,2785908999.81,-7.14
2021-06-20,Cardano,ADA,45657297092.32,1.429,31946328269,2319196951.55,-8.29
2021-06-27,Cardano,ADA,42654792252.72,1.335,31946328269,2371576550.82,-6.58
