Date,Name,Symbol,Market Cap ($),Price ($),Circulating Supply ($),Volume (24hr) ($),% 7d
2021-12-19,Avalanche,AVAX,26185067589.88,107.67,243188891,1025197695.13,22.21
2022-02-20,Avalanche,AVAX,18971728612.81,77.34,245313119,984477194.97,-1.16
2022-02-27,Avalanche,AVAX,18452974295.4,74.99,246068579,1577126484.94,-3.03
2022-03-06,Avalanche,AVAX,19267144791.27,72.53,265647382,913541518.57,-3.28
2022-03-13,Avalanche,AVAX,18132232300.21,68.08,266352807,660710559.81,-6.14
2022-03-20,Avalanche,AVAX,22636838970.73,84.72,267182355,1451610365.09,24.46
2022-03-27,Avalanche,AVAX,24006949474.71,89.82,267264014,759068099.91,6.02
2022-04-03,Avalanche,AVAX,26224674828.73,98.08,267386507,1288604372.31,9.19
2022-04-10,Avalanche,AVAX,21951204829.57,81.82,268298114,488065132.31,-16.58
2022-04-17,Avalanche,AVAX,20310057428.32,75.71,268263861,322395973.02,-7.46
2022-04-24,Avalanche,AVAX,19233384465.34,71.6,268611306,320340265.86,-5.42
2023-12-10,Avalanche,AVAX,13559152495.24,37.08,365721968,1655716991.03,68.76
2023-12-17,Avalanche,AVAX,14876184618.33,40.66,365846897,1267591263.22,9.68
2023-12-24,Avalanche,AVAX,17435295345.75,47.71,365433711,1711488144.03,17.34
2023-12-31,Avalanche,AVAX,14086866595.76,38.54,365466309,578258572.7,-19.21
2024-01-07,Avalanche,AVAX,12327992435.22,33.63,366581006,626766432.99,-12.75
2024-01-14,Avalanche,AVAX,12956586116.49,35.34,366647448,612422802.02,5.08
2024-01-21,Avalanche,AVAX,11911019491.48,32.47,366797137,323246887.52,-8.11
2024-01-28,Avalanche,AVAX,12770750668.96,34.79,367041249,966178089.65,7.15
2024-02-04,Avalanche,AVAX,12793696501.35,34.84,367160241,374440908.62,0.15
2024-02-11,Avalanche,AVAX,14600531596.4,39.73,367472893,506846338.7,14.03
2024-02-18,Avalanche,AVAX,14794499445.77,40.25,367522624,426847219.03,1.31
2024-02-25,Avalanche,AVAX,14125113515.93,37.45,377172894,348630080.78,-6.97
2024-03-03,Avalanche,AVAX,16072632301.89,42.6,377248820,618511855.38,13.76
2024-03-17,Avalanche,AVAX,21927747103.73,58.12,377311202,1531363097.3,38.2
2024-03-24,Avalanche,AVAX,21008587898.45,55.66,377416536,580230388.99,-4.22
2024-03-31,Avalanche,AVAX,20422170640.27,54.11,377416536,343450748.28,-2.79
