Date,Name,Symbol,Market Cap ($),Price ($),Circulating Supply ($),Volume (24hr) ($),% 7d
2020-11-22,Bitcoin Cash,BCH,5332294479.07,286.99,18579850,4952111958.49,18.9
2020-11-29,Bitcoin Cash,BCH,5277249777.39,283.93,18586350,2155292210.78,-1.07
2020-12-06,Bitcoin Cash,BCH,5324074006.72,286.36,18592494,1662530478.01,0.85
2020-12-13,Bitcoin Cash,BCH,5121143076.24,275.35,18598769,1616017413.53,-3.84
2020-12-20,Bitcoin Cash,BCH,6476086511.26,348.16,18600863,6066519346.07,26.44
2020-12-27,Bitcoin Cash,BCH,6290438770.71,338.18,18600863,7057534741.82,-2.87
2021-01-03,Bitcoin Cash,BCH,7845655333.38,421.79,18600863,7273123206.61,24.72
2021-01-10,Bitcoin Cash,BCH,11227411339.17,603.6,18600863,18670984543.78,43.1
2021-01-17,Bitcoin Cash,BCH,8919517290.65,478.77,18630075,4635690837.55,-20.68
2021-01-24,Bitcoin Cash,BCH,8201974858.11,440.1,18636475,3869930797.46,-8.08
2021-01-31,Bitcoin Cash,BCH,7452675943.77,399.77,18642413,3699019612.12,-9.16
2021-02-14,Bitcoin Cash,BCH,13506911307.47,724.02,18655550,14673194770.75,62.64
2021-02-21,Bitcoin Cash,BCH,13206381300.99,707.59,18663825,5369155548.31,-2.27
2021-04-18,Bitcoin Cash,BCH,18070348498.02,965.68,18712513,11408448670.97,38.63
2021-05-02,Bitcoin Cash,BCH,18250673622.11,974.66,18725256,2712905991.91,28.63
2021-05-09,Bitcoin Cash,BCH,26759773845.5,1428.53,18732400,5982135477.45,46.57
2021-05-16,Bitcoin Cash,BCH,21901141021.21,1168.73,18739281,5122033902.98,-18.19
