Date,Name,Symbol,Market Cap ($),Price ($),Circulating Supply ($),Volume (24hr) ($),% 7d
2020-11-22,Binance Coin,BNB,4321376636.12,29.93,144406561,426289161.28,8.34
2020-11-29,Binance Coin,BNB,4349179640.9,30.12,144406561,347773041.18,0.64
2020-12-06,Binance Coin,BNB,4265885902.99,29.54,144406561,249993855.49,-1.92
2020-12-13,Binance Coin,BNB,4202475238.85,29.1,144406561,265728019.63,-1.49
2020-12-20,Binance Coin,BNB,4932970915.74,34.16,144406561,583559932.35,17.38
2020-12-27,Binance Coin,BNB,4839330613.85,33.51,144406561,567285548.22,-1.9
2021-01-03,Binance Coin,BNB,5942182740.66,41.15,144406561,758008613.17,22.79
2021-01-24,Binance Coin,BNB,6472081159.88,41.88,154532785,450486065.74,-8.32
2021-01-31,Binance Coin,BNB,6842092372.86,44.28,154532785,512545443.39,5.72
2021-02-07,Binance Coin,BNB,10599484196.39,68.59,154532785,1493688264.6,54.92
2021-02-14,Binance Coin,BNB,21082369583.06,136.43,154532785,2312597445.34,98.9
2021-02-21,Binance Coin,BNB,45420831168.45,293.92,154532785,8505963718.53,115.44
2021-02-28,Binance Coin,BNB,32386116331.48,209.57,154532785,3129699002.57,-28.7
2021-03-07,Binance Coin,BNB,37115563234.61,240.18,154532785,5081569246.63,14.6
2021-03-14,Binance Coin,BNB,40895052331.8,264.64,154532785,2044273969.56,10.18
2021-03-21,Binance Coin,BNB,40933596276.01,264.89,154532785,1718563710.98,0.09
2021-03-28,Binance Coin,BNB,41598879255.91,269.19,154532785,2527142068.75,1.63
2021-04-04,Binance Coin,BNB,54337497318.26,351.62,154532785,3200674445.52,30.62
2021-04-11,Binance Coin,BNB,81189295175.02,525.39,154532785,5697422904.17,49.42
2021-04-18,Binance Coin,BNB,73806479141.25,481.03,153432897,6711806048.49,-8.44
2021-04-25,Binance Coin,BNB,77495435715.04,505.08,153432897,3419309602.69,5.0
2021-05-02,Binance Coin,BNB,95450760763.81,622.1,153432897,3765184550.88,23.17
2021-05-09,Binance Coin,BNB,101607648677.76,662.23,153432897,4321052942.57,6.45
2021-05-16,Binance Coin,BNB,86356615319.47,562.83,153432897,4047395255.16,-15.01
2021-05-23,Binance Coin,BNB,40344516407.09,262.95,153432897,5336233745.55,-53.28
2021-05-30,Binance Coin,BNB,49985988837.23,325.78,153432897,3246314972.74,23.9
2021-06-06,Binance Coin,BNB,60424976235.95,393.82,153432897,2101917654.52,20.88
2021-06-13,Binance Coin,BNB,56256011121.22,366.65,153432897,2171880358.78,-6.9
2021-06-20,Binance Coin,BNB,52177493482.09,340.07,153432897,1756674565.4,-7.25
2021-06-27,Binance Coin,BNB,44582539627.56,290.57,153432897,1521388055.74,-14.56
2021-07-04,Binance Coin,BNB,47216226923.6,307.73,153432897,1387395766.17,5.91
2021-07-11,Binance Coin,BNB,49410249319.0,322.03,153432897,1189805384.47,4.65
2021-07-18,Binance Coin,BNB,51250407821.83,302.48,169433764,1254819647.13,-6.07
2021-07-25,Binance Coin,BNB,50850719806.21,302.44,168137036,1351522796.97,-0.01
2021-08-01,Binance Coin,BNB,56071010565.43,333.48,168137036,1788390754.53,10.27
2021-08-08,Binance Coin,BNB,57513752130.17,342.06,168137036,1547133821.05,2.57
2021-08-15,Binance Coin,BNB,69708780300.69,414.6,168137036,1826134191.71,21.2
2021-08-22,Binance Coin,BNB,75502522647.04,449.05,168137036,1826865700.76,8.31
2021-08-29,Binance Coin,BNB,80753365779.87,480.28,168137036,1763538464.12,6.95
2021-09-05,Binance Coin,BNB,84845287773.55,504.62,168137036,1899639213.99,5.07
2021-09-12,Binance Coin,BNB,70059881720.23,416.68,168137036,1671909230.28,-17.43
2021-09-19,Binance Coin,BNB,68679211877.59,408.47,168137036,1243314914.66,-1.97
2021-09-26,Binance Coin,BNB,57869701517.48,344.18,168137036,1958526740.96,-15.74
2021-10-03,Binance Coin,BNB,72384475441.52,430.51,168137036,1470899247.79,25.08
2021-10-10,Binance Coin,BNB,68107150217.45,405.07,168137036,1437068557.8,-5.91
2021-10-17,Binance Coin,BNB,78500881098.01,470.63,166801148,1646437501.4,16.18
2021-10-24,Binance Coin,BNB,79502953196.65,476.63,166801148,1246191888.99,1.28
