Date,Name,Symbol,Market Cap ($),Price ($),Circulating Supply ($),Volume (24hr) ($),% 7d
2020-11-22,Bitcoin,BTC,340790183317.33,18370.0,18551450,41280434225.93,15.13
2020-11-29,Bitcoin,BTC,337336592123.07,18177.48,18557937,31133957704.27,-1.05
2020-12-06,Bitcoin,BTC,359123541247.06,19345.12,18564037,25293775713.52,6.42
2020-12-13,Bitcoin,BTC,355479173805.7,19142.38,18570268,25450468636.54,-1.05
2020-12-20,Bitcoin,BTC,436129331482.26,23477.3,18576643,37844228421.87,22.65
2020-12-27,Bitcoin,BTC,488213268382.01,26272.29,18582818,66479895605.09,11.91
2021-01-03,Bitcoin,BTC,609409213147.03,32782.02,18589737,78665235201.84,24.78
2021-01-10,Bitcoin,BTC,713304617760.95,38356.44,18596737,79980747690.35,17.0
2021-01-17,Bitcoin,BTC,665831621390.99,35791.28,18603181,52359854336.21,-6.69
2021-01-24,Bitcoin,BTC,600888568009.5,32289.38,18609481,48643830599.36,-9.78
2021-01-31,Bitcoin,BTC,616452744533.28,33114.36,18615875,52754542671.38,2.55
2021-02-07,Bitcoin,BTC,724478833211.1,38903.44,18622487,65500641143.12,17.48
2021-02-14,Bitcoin,BTC,907551330153.22,48717.29,18628937,71248675228.22,25.23
2021-02-21,Bitcoin,BTC,1072421529570.02,57539.94,18637862,51897585190.58,18.11
2021-02-28,Bitcoin,BTC,841428977514.57,45137.77,18641350,53443887450.79,-21.55
2021-03-07,Bitcoin,BTC,954880954584.64,51206.69,18647581,43137459377.73,13.45
2021-03-14,Bitcoin,BTC,1106226132524.59,59302.32,18654012,43901225563.85,15.81
2021-03-21,Bitcoin,BTC,1073480856312.03,57523.42,18661631,51943414539.37,-3.0
2021-03-28,Bitcoin,BTC,1044446559059.05,55950.75,18667250,47686580917.99,-2.73
2021-04-04,Bitcoin,BTC,1097232660348.16,58758.56,18673581,50749662969.7,5.02
2021-04-11,Bitcoin,BTC,1124635848775.45,60204.96,18680118,46280252580.42,2.46
2021-04-18,Bitcoin,BTC,1050445401609.72,56216.19,18685818,97468872758.37,-6.63
2021-04-25,Bitcoin,BTC,915955943256.31,49004.25,18691356,46117114240.1,-12.83
2021-05-02,Bitcoin,BTC,1058862005057.49,56631.08,18697543,38177405335.16,15.56
2021-05-09,Bitcoin,BTC,1089244557675.55,58232.32,18705156,65906690347.3,2.83
2021-05-16,Bitcoin,BTC,869279076502.07,46456.06,18711856,64047871555.0,-20.22
2021-05-23,Bitcoin,BTC,650686270744.27,34770.58,18713700,78469274360.73,-25.15
2021-05-30,Bitcoin,BTC,667976638398.14,35678.13,18722300,31646080921.32,2.61
2021-06-06,Bitcoin,BTC,671652557855.13,35862.38,18728612,28913440584.92,0.52
2021-06-13,Bitcoin,BTC,732465659891.77,39097.86,18734162,40669112837.87,9.02
2021-06-20,Bitcoin,BTC,668968868769.75,35698.3,18739518,36664034054.41,-8.7
2021-06-27,Bitcoin,BTC,649461677014.11,34649.64,18743675,35511640893.97,-2.94
2021-07-04,Bitcoin,BTC,661574836314.86,35287.78,18747987,24924307911.11,1.84
2021-07-11,Bitcoin,BTC,642138104626.48,34240.19,18753931,20108729370.08,-2.97
2021-07-18,Bitcoin,BTC,596513309276.77,31796.81,18760162,18787986666.5,-7.14
2021-07-25,Bitcoin,BTC,663401935102.72,35350.19,18766575,20856685287.16,11.18
2021-08-01,Bitcoin,BTC,750472428208.37,39974.9,18773593,26688438115.4,13.08
2021-08-08,Bitcoin,BTC,822545074286.18,43798.12,18780375,36302664749.76,9.56
2021-08-15,Bitcoin,BTC,883882942187.64,47047.0,18787231,30988958445.96,7.42
2021-08-22,Bitcoin,BTC,926961622395.31,49321.65,18794212,25370975377.73,4.83
2021-08-29,Bitcoin,BTC,918057300166.44,48829.83,18801156,25889650240.45,-1.0
2021-09-05,Bitcoin,BTC,973354882472.78,51753.41,18807550,30322676318.63,5.99
2021-09-12,Bitcoin,BTC,866636671661.82,46063.27,18814050,27881980160.72,-10.99
2021-09-19,Bitcoin,BTC,889472404519.7,47260.22,18820743,26967722648.45,2.6
2021-09-26,Bitcoin,BTC,813490665612.76,43208.54,18827081,30661222077.4,-8.57
2021-10-03,Bitcoin,BTC,907791525235.93,48199.95,18833868,26638115879.34,11.55
2021-10-10,Bitcoin,BTC,1031909532688.09,54771.58,18840237,39527792363.58,13.63
2021-10-17,Bitcoin,BTC,1160143314184.57,61553.62,18847687,29032367510.53,12.38
2021-10-24,Bitcoin,BTC,1148743134467.63,60930.84,18853231,27316183881.53,-1.01
2021-10-31,Bitcoin,BTC,1156485845063.09,61318.96,18860168,32241199927.48,0.64
2021-11-07,Bitcoin,BTC,1194778776481.15,63326.99,18866818,24726754301.5,3.27
2021-11-14,Bitcoin,BTC,1235578996842.01,65466.84,18873356,25122092190.66,3.38
2021-11-21,Bitcoin,BTC,1109182665918.5,58730.48,18885981,26123447605.05,-10.29
2021-11-28,Bitcoin,BTC,1081180416261.97,57248.46,18885756,28116886356.83,-2.52
2021-12-05,Bitcoin,BTC,932695365142.4,49368.85,18892387,37198201161.44,-13.76
2021-12-12,Bitcoin,BTC,946823114554.82,50098.34,18899293,21939223598.97,1.48
2021-12-19,Bitcoin,BTC,883011296029.51,46707.01,18905325,25154053860.63,-6.77
2021-12-26,Bitcoin,BTC,960899995734.94,50809.52,18911812,20964372925.86,8.78
2022-01-02,Bitcoin,BTC,895688387523.14,47345.22,18918243,27951569547.04,-6.82
2022-01-09,Bitcoin,BTC,793156354743.99,41911.6,18924506,21294384372.18,-11.48
2022-01-16,Bitcoin,BTC,816211499220.99,43113.88,18931525,17902097844.6,2.87
2022-01-23,Bitcoin,BTC,687012848062.33,36276.8,18938075,26017975950.79,-15.86
2022-01-30,Bitcoin,BTC,718325967803.38,37917.6,18944393,14643548443.91,4.52
2022-02-06,Bitcoin,BTC,803744511638.35,42412.43,18950681,16142097333.9,11.85
2022-02-13,Bitcoin,BTC,799950408997.28,42197.52,18957287,14741589014.5,-0.51
2022-02-20,Bitcoin,BTC,728812385562.03,38431.38,18963993,18340576451.97,-8.93
2022-02-27,Bitcoin,BTC,715351995827.54,37709.78,18969931,23450127611.88,-1.88
2022-03-06,Bitcoin,BTC,729062407067.32,38419.98,18976125,19745229901.83,1.88
2022-03-13,Bitcoin,BTC,718481905385.96,37849.66,18982518,17300745309.73,-1.48
2022-03-20,Bitcoin,BTC,783260570383.75,41247.82,18989137,20127946682.25,8.98
2022-03-27,Bitcoin,BTC,889385706663.3,46820.49,18995650,28160889721.88,13.51
2022-04-03,Bitcoin,BTC,882703992270.52,46453.57,19001856,25414397610.22,-0.78
2022-04-10,Bitcoin,BTC,802293412896.67,42207.67,19008237,17654475582.4,-9.14
2022-04-17,Bitcoin,BTC,755201997822.58,39716.95,19014600,19087633042.29,-5.9
2022-04-24,Bitcoin,BTC,750755023763.85,39469.29,19021243,17964398167.08,-0.62
2022-05-01,Bitcoin,BTC,731986764311.88,38469.09,19027918,27002760109.78,-2.53
2022-05-08,Bitcoin,BTC,648302121215.01,34059.26,19034531,36763041910.24,-11.46
2022-05-15,Bitcoin,BTC,596074575228.33,31305.11,19040806,25835372064.61,-8.09
2022-05-22,Bitcoin,BTC,577568895835.72,30323.72,19046768,21631532269.67,-3.13
2022-05-29,Bitcoin,BTC,561034743433.25,29445.96,19053031,18093886409.16,-2.89
2022-06-05,Bitcoin,BTC,569996838236.87,29906.66,19059193,17264085440.89,1.56
2022-06-12,Bitcoin,BTC,510252464820.78,26762.65,19065843,34163220273.81,-10.51
2022-06-19,Bitcoin,BTC,391988917193.59,20553.27,19071850,35329942624.94,-23.2
2022-06-26,Bitcoin,BTC,401157940864.19,21027.3,19077962,18027170496.51,2.31
2022-07-03,Bitcoin,BTC,368272636367.55,19297.08,19084375,16390821947.43,-8.23
2022-07-10,Bitcoin,BTC,398237577323.42,20860.45,19090556,28688807249.03,8.1
2022-07-17,Bitcoin,BTC,396808327004.88,20779.34,19096287,22927802082.64,-0.39
2022-07-24,Bitcoin,BTC,431890710883.44,22609.16,19102462,23565495302.99,8.81
2022-07-31,Bitcoin,BTC,445941074223.03,23336.9,19108843,23553591896.25,3.22
2022-08-07,Bitcoin,BTC,443014963855.39,23175.89,19115337,15886817042.79,-0.69
2022-08-14,Bitcoin,BTC,465024405299.05,24319.33,19121593,22994133555.22,4.93
2022-08-21,Bitcoin,BTC,411906673576.29,21534.12,19128093,23102307723.19,-11.45
2022-08-28,Bitcoin,BTC,375367382007.85,19616.81,19134981,24366810590.82,-8.9
2022-09-04,Bitcoin,BTC,382576542382.12,19986.71,19141543,25245861651.62,1.89
2022-09-11,Bitcoin,BTC,416840289162.08,21769.26,19148118,34493951963.3,8.92
2022-09-18,Bitcoin,BTC,371970445843.39,19419.51,19154475,31254779143.63,-10.79
2022-09-25,Bitcoin,BTC,360259346858.06,18802.1,19160593,23359966112.45,-3.18
2022-10-02,Bitcoin,BTC,365024821953.69,19044.11,19167337,20765955327.49,1.29
2022-10-09,Bitcoin,BTC,372876821416.38,19446.43,19174568,16837262532.25,2.11
2022-10-16,Bitcoin,BTC,369584293835.81,19268.09,19181156,17988916650.36,-0.92
2022-10-23,Bitcoin,BTC,375444263357.01,19567.01,19187618,22128794335.13,1.55
2022-10-30,Bitcoin,BTC,396075135322.21,20635.6,19193775,31486345555.64,5.46
2022-11-06,Bitcoin,BTC,401792318391.33,20926.49,19200181,35082693210.3,1.41
2022-11-13,Bitcoin,BTC,314093257178.24,16353.37,19206643,27209183682.26,-21.85
2022-11-20,Bitcoin,BTC,313012826679.9,16291.83,19212868,21313378651.69,-0.38
2022-11-27,Bitcoin,BTC,316040534591.71,16444.63,19218468,20443898508.94,0.94
2022-12-04,Bitcoin,BTC,329323845088.74,17130.49,19224431,16824520830.08,4.17
2022-12-11,Bitcoin,BTC,328933297475.65,17104.19,19231150,14122486832.21,-0.15
2022-12-18,Bitcoin,BTC,322379914497.22,16757.98,19237400,10924354698.17,-2.02
2022-12-25,Bitcoin,BTC,324093186300.92,16841.99,19243168,11656379938.06,0.5
2023-01-01,Bitcoin,BTC,320025834692.4,16625.08,19249581,9244361699.89,-1.29
2023-01-08,Bitcoin,BTC,329114546384.42,17091.14,19256437,9768827914.24,2.8
2023-01-15,Bitcoin,BTC,402234665331.33,20880.8,19263375,19298407543.31,22.17
2023-01-22,Bitcoin,BTC,437814457018.41,22720.42,19269650,24746386230.08,8.81
2023-01-29,Bitcoin,BTC,458291157032.26,23774.57,19276531,27423687259.16,4.64
2023-02-05,Bitcoin,BTC,442642331535.6,22955.67,19282487,19564262605.21,-3.44
2023-02-12,Bitcoin,BTC,420274300806.28,21788.2,19289075,17821046405.57,-5.09
2023-02-19,Bitcoin,BTC,469431477134.25,24327.64,19296218,25555105669.92,11.66
2023-02-26,Bitcoin,BTC,454795165822.82,23561.21,19302706,16644534841.91,-3.15
2023-03-05,Bitcoin,BTC,433216160786.44,22435.51,19309393,13317001732.58,-4.78
2023-03-12,Bitcoin,BTC,428114557464.9,22163.95,19315806,29279035521.01,-1.21
2023-03-19,Bitcoin,BTC,543037803329.78,28038.67,19367456,37769448858.69,26.51
2023-03-26,Bitcoin,BTC,542178945116.21,27994.33,19367456,13878363191.96,-0.16
2023-04-02,Bitcoin,BTC,545245950698.04,28199.31,19335437,12284641999.34,0.73
2023-04-09,Bitcoin,BTC,548015190714.46,28333.05,19341906,12175322950.95,0.47
2023-04-16,Bitcoin,BTC,586546802552.22,30315.36,19348175,12854816416.5,7.0
2023-04-23,Bitcoin,BTC,534020212996.7,27591.38,19354600,12785446832.04,-8.99
2023-04-30,Bitcoin,BTC,566661285145.36,29268.81,19360587,14652199272.27,6.08
2023-05-07,Bitcoin,BTC,551083296208.8,28454.98,19366850,11301355486.45,-2.78
2023-05-14,Bitcoin,BTC,521742220416.76,26930.64,19373556,10014858959.48,-5.36
