Date,Name,Symbol,Market Cap ($),Price ($),Circulating Supply ($),Volume (24hr) ($),% 7d
2021-06-27,Binance USD,BUSD,9951227530.45,1.0,9946112282,3436768802.55,-0.05
2021-07-18,Binance USD,BUSD,11202748538.94,1.0,11197269019,2462122282.51,0.02
2021-07-25,Binance USD,BUSD,11784474861.3,1.0,11789037210,3993626075.44,-0.09
2022-05-15,Binance USD,BUSD,17743577941.18,1.0,17735417590,8030119560.23,0.02
2022-05-22,Binance USD,BUSD,18545424838.49,1.002,18517729226,5907534747.18,0.1
2022-05-29,Binance USD,BUSD,17989622000.61,1.001,17970184498,3122801412.6,-0.04
2022-06-05,Binance USD,BUSD,18087458255.16,1.002,18049494749,2621810817.37,0.1
2022-06-12,Binance USD,BUSD,17758622018.63,1.001,17742539878,5731962347.25,-0.12
2022-06-19,Binance USD,BUSD,17182271246.27,1.0,17184126307,5147188372.83,-0.1
2022-06-26,Binance USD,BUSD,17374825904.26,1.001,17362580695,3392421094.62,0.08
2022-07-03,Binance USD,BUSD,17534713957.66,0.999,17547224379,3731656762.86,-0.14
2022-07-10,Binance USD,BUSD,17576677876.55,1.002,17547224379,4484473152.88,0.24
2022-07-17,Binance USD,BUSD,17554013040.77,1.0,17547224379,4716284405.73,-0.13
2022-07-24,Binance USD,BUSD,17567977533.57,1.001,17547224379,4727016296.27,0.08
2022-07-31,Binance USD,BUSD,17846505622.18,0.999,17858623534,6199044656.3,-0.19
2022-08-07,Binance USD,BUSD,17919074504.39,1.0,17921636048,3175297520.48,0.05
2022-08-14,Binance USD,BUSD,17721029011.89,1.0,17723549958,5112255401.23,0.01
2022-08-21,Binance USD,BUSD,18820506779.31,1.0,18819101289,4140857537.24,0.02
2022-08-28,Binance USD,BUSD,19152402056.18,1.0,19142664180,3901333042.34,0.04
2022-09-04,Binance USD,BUSD,19438038369.83,1.0,19433224173,4345105640.68,-0.03
2022-09-11,Binance USD,BUSD,20000545579.16,1.0,20003342405,8265336407.31,-0.04
2022-09-18,Binance USD,BUSD,20527981756.14,1.0,20517253085,7971539238.24,0.07
2022-09-25,Binance USD,BUSD,20530509098.27,1.001,20517253085,6699091779.67,0.01
2022-10-02,Binance USD,BUSD,21032239187.18,1.0,21042229623,4876227728.1,-0.11
2022-10-09,Binance USD,BUSD,21630677038.28,1.0,21628100611,3456238968.93,0.06
2022-10-16,Binance USD,BUSD,21639502431.12,1.0,21628100611,4728210777.81,0.04
2022-10-23,Binance USD,BUSD,21640478801.91,1.001,21628100611,4461506898.89,0.01
2022-10-30,Binance USD,BUSD,21396931013.67,1.0,21394874602,5955857682.62,-0.05
2022-11-06,Binance USD,BUSD,22543376722.7,1.0,22544178442,6180167998.1,-0.01
2022-11-13,Binance USD,BUSD,23371169747.55,1.001,23345613456,7253712643.46,0.11
2022-11-20,Binance USD,BUSD,22900246737.87,1.001,22872131211,7510289975.35,0.01
2022-11-27,Binance USD,BUSD,22408551005.7,1.0,22401537190,4614831258.31,-0.09
2022-12-04,Binance USD,BUSD,22149617933.06,1.0,22152178551,4329311362.77,-0.04
2022-12-11,Binance USD,BUSD,22099040601.9,1.0,22099984030,3708577437.02,0.01
2022-12-18,Binance USD,BUSD,18443448365.73,1.0,18441655523,2744176088.41,0.01
2022-12-25,Binance USD,BUSD,17393414909.52,1.0,17388891975,2742694443.35,0.02
2023-01-01,Binance USD,BUSD,16566063279.88,1.0,16560434934,2236386722.01,0.01
2023-01-08,Binance USD,BUSD,16319344848.96,1.001,16303396704,3070320859.71,0.06
2023-01-15,Binance USD,BUSD,16358943680.27,1.0,16358554490,7356561754.35,-0.1
2023-01-22,Binance USD,BUSD,16161805670.36,1.001,16152722344,9123656886.33,0.05
2023-01-29,Binance USD,BUSD,15706485160.35,1.0,15704383591,9746561338.97,-0.04
2023-02-05,Binance USD,BUSD,16256784772.34,1.0,16258271374,8511186142.09,-0.02
2023-02-12,Binance USD,BUSD,16151343121.5,1.0,16148914846,6465453370.57,0.02
2023-02-19,Binance USD,BUSD,13241158783.84,1.0,13238824106,7221566628.91,0.01
2023-02-26,Binance USD,BUSD,11133434699.84,1.0,11129348393,4351628127.7,0.02
2023-03-05,Binance USD,BUSD,8690988693.97,1.0,8689408000,3485513959.63,-0.02
2023-03-12,Binance USD,BUSD,8404929411.42,1.004,8375923988,5998975403.71,0.33
