Date,Name,Symbol,Market Cap ($),Price ($),Circulating Supply ($),Volume (24hr) ($),% 7d
2021-02-07,Dogecoin,DOGE,10105792829.48,0.079,128275738389,14261024073.31,111.8
2021-04-18,Dogecoin,DOGE,41417581075.57,0.32,129237971710,23464350388.44,329.31
2021-04-25,Dogecoin,DOGE,32477418138.13,0.251,129334992638,6849914674.94,-21.64
2021-05-02,Dogecoin,DOGE,48672985630.28,0.376,129433561915,8040406917.81,49.75
2021-05-09,Dogecoin,DOGE,73841942943.12,0.57,129531248765,46138063928.31,51.6
2021-05-16,Dogecoin,DOGE,66742824281.73,0.515,129624091405,9541552063.81,-9.68
2021-05-23,Dogecoin,DOGE,39963404928.93,0.308,129721566471,7143545370.99,-40.17
2021-05-30,Dogecoin,DOGE,39232589725.88,0.302,129813129789,1929947932.87,-1.9
2021-06-06,Dogecoin,DOGE,48302113585.76,0.372,129911764841,1836611411.12,23.02
2021-06-13,Dogecoin,DOGE,42172193661.72,0.324,130007902538,1484851447.18,-12.76
2021-06-20,Dogecoin,DOGE,36545750821.57,0.281,130102210569,1963503799.66,-13.4
2021-06-27,Dogecoin,DOGE,34431598885.98,0.264,130200947235,2167521670.48,-5.86
2021-07-04,Dogecoin,DOGE,32117665810.75,0.246,130303772350,973511518.61,-6.79
2021-07-11,Dogecoin,DOGE,28147268915.96,0.216,130398548260,719870046.74,-12.43
2021-07-18,Dogecoin,DOGE,23780392195.53,0.182,130494243044,1424484162.92,-15.58
2021-07-25,Dogecoin,DOGE,25838253837.41,0.198,130586131924,1256116970.61,8.58
2021-08-01,Dogecoin,DOGE,26715951374.75,0.204,130680456088,1711494501.16,3.32
2021-08-08,Dogecoin,DOGE,31391121978.5,0.24,130771840468,6984782652.84,17.42
2021-08-15,Dogecoin,DOGE,44683830216.5,0.341,130868317236,8046171668.78,42.24
2021-08-22,Dogecoin,DOGE,41248734626.28,0.315,130963771834,2237836352.29,-7.75
2021-08-29,Dogecoin,DOGE,36844303304.74,0.281,131060005023,1473623362.58,-10.74
2021-09-05,Dogecoin,DOGE,41252120931.82,0.314,131155870131,2393033526.62,11.88
2021-09-12,Dogecoin,DOGE,32894764663.2,0.251,131255374699,1419288865.56,-20.32
2021-09-19,Dogecoin,DOGE,30623676761.57,0.233,131351872546,892763953.4,-6.97
2021-09-26,Dogecoin,DOGE,26941578027.04,0.205,131446897047,1147321467.14,-12.09
2021-10-03,Dogecoin,DOGE,29169261268.22,0.222,131542299403,1070267896.2,8.19
2021-10-10,Dogecoin,DOGE,30251025151.75,0.23,131637804279,1466060853.16,3.63
2021-10-17,Dogecoin,DOGE,31342242303.53,0.238,131746758768,1397143120.85,3.52
2021-10-24,Dogecoin,DOGE,36522677815.62,0.277,131827955812,5278760540.92,16.46
2021-10-31,Dogecoin,DOGE,36972572649.67,0.28,131929723836,4224104204.9,1.15
2021-11-07,Dogecoin,DOGE,35160145471.21,0.266,132024846344,1155873525.57,-4.97
2021-11-14,Dogecoin,DOGE,34734180476.45,0.263,132113581229,1264556615.12,-1.28
2021-11-21,Dogecoin,DOGE,29944164019.25,0.226,132304152845,751789837.67,-13.91
2021-11-28,Dogecoin,DOGE,27449446663.88,0.208,132304152845,1027555437.21,-8.33
2022-01-23,Dogecoin,DOGE,18821109378.43,0.142,132670764300,1006234946.06,-19.93
2022-01-30,Dogecoin,DOGE,18503745857.41,0.14,132670764300,363976740.57,-1.69
2022-02-13,Dogecoin,DOGE,19761029254.18,0.149,132670764300,1581065490.8,-3.14
2022-05-15,Dogecoin,DOGE,12317527158.07,0.093,132670764300,651900825.67,-25.25
2022-05-22,Dogecoin,DOGE,11423643528.01,0.086,132670764300,375026021.01,-7.26
2022-05-29,Dogecoin,DOGE,10969956872.19,0.083,132670764300,394962471.41,-3.97
2022-06-05,Dogecoin,DOGE,10776704001.94,0.081,132670764300,282624183.53,-1.76
2022-06-12,Dogecoin,DOGE,8535532361.61,0.064,132670764300,708156957.34,-20.8
2022-06-19,Dogecoin,DOGE,8012737056.9,0.06,132670764300,1166163984.05,-6.12
2022-06-26,Dogecoin,DOGE,9708405808.7,0.073,132670764300,883689354.71,21.16
2022-07-03,Dogecoin,DOGE,8912747929.92,0.067,132670764300,280878240.1,-8.2
2022-07-10,Dogecoin,DOGE,8923774474.6,0.067,132670764300,299810123.97,0.12
