Date,Name,Symbol,Market Cap ($),Price ($),Circulating Supply ($),Volume (24hr) ($),% 7d
2020-11-22,Polkadot,DOT,4825834134.07,5.482,880329011,1048639985.99,25.16
2020-11-29,Polkadot,DOT,4576446420.03,5.19,881721753,451787953.6,-5.32
2020-12-06,Polkadot,DOT,4547051375.88,5.136,885352072,299285627.2,-1.05
2020-12-13,Polkadot,DOT,4339944731.18,4.891,887294345,280953203.62,-4.76
2020-12-20,Polkadot,DOT,4628079243.35,5.188,891992110,519415555.21,6.08
2020-12-27,Polkadot,DOT,4592307413.22,5.136,894107647,784179880.73,-1.01
2021-01-03,Polkadot,DOT,8995148461.43,10.03,896530965,3032883074.26,95.34
2021-01-10,Polkadot,DOT,8361125118.44,9.305,898558018,1603968712.26,-7.26
2021-01-17,Polkadot,DOT,15306722569.89,16.98,901230178,6091648732.2,82.53
2021-01-24,Polkadot,DOT,16268654954.28,18.0,903831755,2800444853.84,5.98
2021-01-31,Polkadot,DOT,14603207739.22,16.12,905832287,2540474629.04,-10.44
2021-02-07,Polkadot,DOT,17972785450.43,19.79,908009247,3038407999.38,22.78
2021-02-14,Polkadot,DOT,24608750492.5,27.1,908214906,3550653217.48,36.89
2021-02-21,Polkadot,DOT,36242864920.83,39.7,913005243,3721239426.56,46.5
2021-02-28,Polkadot,DOT,30723422512.25,33.61,914190151,4567616883.15,-15.34
2021-03-07,Polkadot,DOT,32235883114.92,35.19,916087270,1607577505.58,4.71
2021-03-14,Polkadot,DOT,33665914792.94,36.58,920355510,1640191647.25,3.95
2021-03-21,Polkadot,DOT,33946390268.72,36.79,922616461,1930244844.86,0.59
2021-03-28,Polkadot,DOT,29845818892.46,32.3,924079445,1138942373.37,-12.22
2021-04-04,Polkadot,DOT,41344587411.55,44.65,925924767,3120632808.86,38.25
2021-04-11,Polkadot,DOT,38470489156.56,41.42,928713982,1534168401.58,-7.23
2021-04-18,Polkadot,DOT,34770061976.39,37.35,930989386,5942657693.87,-9.84
2021-04-25,Polkadot,DOT,27761506661.59,29.76,932768271,1620694353.05,-20.31
2021-05-02,Polkadot,DOT,34253692068.17,36.65,934500915,1423486755.47,23.16
2021-05-09,Polkadot,DOT,37754263203.32,40.31,936531906,2294525691.73,9.98
2021-05-16,Polkadot,DOT,40009764155.32,42.63,938502097,4268621267.36,5.75
2021-05-23,Polkadot,DOT,16949899549.34,18.03,940123359,6002858935.74,-57.71
2021-05-30,Polkadot,DOT,19308719941.87,20.47,943085463,1947583707.86,13.56
2021-06-06,Polkadot,DOT,22881676131.14,24.2,945461319,1187622849.35,18.21
2021-06-13,Polkadot,DOT,21016241301.27,22.08,951980573,1233102638.19,-8.78
2021-06-20,Polkadot,DOT,19717389790.59,20.67,953804292,1309501355.61,-6.36
2021-06-27,Polkadot,DOT,14348288115.63,15.02,955559127,982313260.63,-27.36
2021-07-04,Polkadot,DOT,15335470065.5,16.01,957627383,752075892.77,6.65
2021-07-11,Polkadot,DOT,14857096978.12,15.48,959609841,543030841.6,-3.32
2021-07-18,Polkadot,DOT,12381218060.6,12.68,976271535,675122783.32,-18.09
2021-07-25,Polkadot,DOT,13414861392.88,13.71,978287216,777347323.72,8.13
2021-08-01,Polkadot,DOT,18050367644.58,18.41,980254252,2765314957.53,34.29
2021-08-08,Polkadot,DOT,19326877059.68,19.68,982249789,1319824174.43,6.85
2021-08-15,Polkadot,DOT,22861284470.56,23.17,986505059,1302613173.25,17.78
2021-08-22,Polkadot,DOT,27392362947.28,27.74,987579315,1752533687.84,19.69
2021-08-29,Polkadot,DOT,25413296861.3,25.73,987579315,1004630100.04,-7.22
2021-09-05,Polkadot,DOT,33981408465.06,34.41,987579315,1731805766.74,33.72
2021-09-12,Polkadot,DOT,35329994513.65,35.77,987579315,4160379168.98,3.97
2021-09-19,Polkadot,DOT,33381499814.59,33.8,987579315,1453929288.8,-5.52
2021-09-26,Polkadot,DOT,28470590053.41,28.83,987579315,2609528913.26,-14.71
2021-10-03,Polkadot,DOT,31706484564.47,32.11,987579315,1294791998.37,11.37
2021-10-10,Polkadot,DOT,34038321014.33,34.47,987579315,1892396216.16,7.35
2021-10-17,Polkadot,DOT,41551364025.73,42.07,987579315,1794118103.54,22.07
2021-10-24,Polkadot,DOT,41859199395.07,42.39,987579315,1286707564.33,0.74
2021-10-31,Polkadot,DOT,42211209861.97,42.74,987579315,1250223352.75,0.84
2021-11-07,Polkadot,DOT,51628651803.81,52.28,987579315,1469149810.73,22.31
2021-11-14,Polkadot,DOT,45825480831.19,46.4,987579315,943480234.2,-11.24
2021-11-21,Polkadot,DOT,41483968548.71,42.01,987579315,1200251789.21,-9.47
2021-11-28,Polkadot,DOT,35320893262.35,35.77,987579315,1521352540.87,-14.86
2021-12-05,Polkadot,DOT,27958507597.69,28.31,987579315,1471059303.13,-20.84
2021-12-12,Polkadot,DOT,29241216672.52,29.61,987579315,897053030.75,4.59
2021-12-26,Polkadot,DOT,30943660939.69,31.33,987579315,1627652480.29,26.39
2022-01-02,Polkadot,DOT,29361884232.15,29.73,987579315,1217867246.33,-5.11
2022-01-09,Polkadot,DOT,24321430602.0,24.63,987579315,1328484246.81,-17.17
2022-01-16,Polkadot,DOT,27321509197.88,27.67,987579315,1280576658.81,12.34
2022-02-06,Polkadot,DOT,21631280299.89,21.9,987579315,830919540.24,20.53
2022-08-07,Polkadot,DOT,9552753760.3,8.646,1104823435,343345305.55,0.01
2022-09-11,Polkadot,DOT,8591192714.54,7.698,1116007262,275936800.39,4.45
