Date,Name,Symbol,Market Cap ($),Price ($),Circulating Supply ($),Volume (24hr) ($),% 7d
2020-11-22,Ethereum,ETH,63361036975.5,558.07,113536390,21967049601.05,24.69
2020-11-29,Ethereum,ETH,65424084296.29,575.76,113631211,15017517758.17,3.17
2020-12-06,Ethereum,ETH,68452719868.01,601.91,113726030,11290893016.09,4.54
2020-12-13,Ethereum,ETH,67115726662.03,589.66,113820439,9070377861.78,-2.03
2020-12-20,Ethereum,ETH,72711065644.98,638.29,113915257,13375855441.56,8.25
2020-12-27,Ethereum,ETH,77828069141.05,682.64,114010020,26093552820.75,6.95
2021-01-03,Ethereum,ETH,111309985610.91,975.51,114104675,45200463368.21,42.9
2021-01-10,Ethereum,ETH,144147690008.65,1262.25,114199304,40616938052.61,29.39
2021-01-17,Ethereum,ETH,140601384429.82,1230.17,114294061,29258032819.26,-2.54
2021-01-24,Ethereum,ETH,159184556292.12,1391.61,114388819,36418163553.77,13.12
2021-01-31,Ethereum,ETH,150543956657.3,1314.99,114483295,25198853580.84,-5.51
2021-02-07,Ethereum,ETH,184955254624.65,1614.23,114578160,39889440150.91,22.76
2021-02-14,Ethereum,ETH,206994111569.56,1805.08,114672839,31439114899.57,11.82
2021-02-21,Ethereum,ETH,222227107888.83,1935.6,114810388,23626547717.45,7.23
2021-02-28,Ethereum,ETH,162650415374.43,1416.05,114862145,27637026080.32,-26.84
2021-03-07,Ethereum,ETH,198088541069.55,1723.15,114956971,23809935410.13,21.69
2021-03-14,Ethereum,ETH,213370626929.98,1854.56,115051615,19344589210.88,7.63
2021-03-21,Ethereum,ETH,205934626381.21,1788.22,115161988,22977404620.4,-3.58
2021-03-28,Ethereum,ETH,194913443083.05,1691.36,115240935,16599472937.88,-5.42
2021-04-04,Ethereum,ETH,241411837678.0,2093.12,115335723,26006501901.85,23.75
2021-04-11,Ethereum,ETH,249059103191.91,2157.66,115430348,19692836132.1,3.08
2021-04-18,Ethereum,ETH,258444691650.46,2237.14,115524748,50696368717.74,3.68
2021-04-25,Ethereum,ETH,267780847560.75,2316.06,115619149,31814355546.06,3.53
2021-05-02,Ethereum,ETH,341593133885.93,2952.06,115713634,28032013046.65,27.46
2021-05-09,Ethereum,ETH,454991994900.06,3928.84,115808088,50568290277.97,33.09
2021-05-16,Ethereum,ETH,415801534961.89,3587.51,115902666,47359478733.83,-8.69
2021-05-23,Ethereum,ETH,244704904961.25,2109.58,115996986,56005721976.73,-41.2
2021-05-30,Ethereum,ETH,277492990926.56,2390.31,116091024,25876619427.51,13.31
2021-06-06,Ethereum,ETH,315453931557.77,2715.09,116185328,25311639413.72,13.59
2021-06-13,Ethereum,ETH,291673894434.5,2508.39,116279249,27092945369.98,-7.61
2021-06-20,Ethereum,ETH,261416943133.96,2246.36,116373340,22535930423.06,-10.45
2021-06-27,Ethereum,ETH,230473556118.34,1978.89,116465803,19885474742.15,-11.91
2021-07-04,Ethereum,ETH,270621669241.04,2321.72,116560649,18787107473.09,17.32
2021-07-11,Ethereum,ETH,249601597225.15,2139.66,116654536,14705386137.51,-7.84
2021-07-18,Ethereum,ETH,221300983040.96,1895.55,116747505,13791868728.03,-11.41
2021-07-25,Ethereum,ETH,256042010286.39,2191.37,116840869,14566483636.23,15.61
2021-08-01,Ethereum,ETH,299564961374.27,2561.85,116932962,22697987055.17,16.91
2021-08-08,Ethereum,ETH,352685939542.18,3013.73,117026282,28433638007.93,17.64
2021-08-15,Ethereum,ETH,387728432649.6,3310.5,117120660,22166205051.3,9.85
2021-08-22,Ethereum,ETH,380025418317.4,3242.12,117215260,15983278460.34,-2.07
2021-08-29,Ethereum,ETH,378558550046.26,3227.0,117309645,13296586731.39,-0.47
2021-09-05,Ethereum,ETH,463997267858.18,3952.13,117404250,18371468576.21,22.47
2021-09-12,Ethereum,ETH,400686506366.52,3410.13,117498737,16810411423.56,-13.71
2021-09-19,Ethereum,ETH,391520172702.19,3329.45,117593122,14257609743.18,-2.37
2021-09-26,Ethereum,ETH,360390447457.18,3062.27,117687530,21172766310.41,-8.02
2021-10-03,Ethereum,ETH,402619122253.94,3418.36,117781416,15516566862.06,11.63
2021-10-10,Ethereum,ETH,403822590445.88,3425.85,117875054,16171746693.48,0.22
2021-10-17,Ethereum,ETH,453898402930.11,3847.1,117984420,15908090346.33,12.3
2021-10-24,Ethereum,ETH,482628847456.41,4087.9,118062695,14978083637.99,6.26
2021-10-31,Ethereum,ETH,506663636947.23,4288.07,118156446,17498160237.85,4.9
2021-11-07,Ethereum,ETH,546381671971.18,4620.55,118250238,13541376033.01,7.75
2021-11-14,Ethereum,ETH,547499259423.05,4626.36,118343441,12172962219.01,0.13
2021-11-21,Ethereum,ETH,506100434404.75,4269.73,118532103,14094831413.1,-7.71
2021-11-28,Ethereum,ETH,509016708179.06,4294.45,118528862,15953126339.81,0.58
2021-12-05,Ethereum,ETH,498007875686.39,4198.32,118620671,25533062706.69,-2.24
2021-12-12,Ethereum,ETH,490816832310.18,4134.45,118713840,14057603913.79,-1.52
2021-12-19,Ethereum,ETH,466037604378.56,3922.59,118808565,16167785597.07,-5.12
2021-12-26,Ethereum,ETH,483620188465.02,4067.33,118903658,11197244171.86,3.69
2022-01-02,Ethereum,ETH,455713570380.85,3829.57,118998781,9881471547.68,-5.85
2022-01-09,Ethereum,ETH,376068612893.65,3157.75,119093797,12334683863.05,-17.54
2022-01-16,Ethereum,ETH,399392136112.46,3350.92,119188731,9505934873.65,6.12
2022-01-23,Ethereum,ETH,302389263380.59,2535.04,119283868,16481489511.36,-24.35
2022-01-30,Ethereum,ETH,310798780839.25,2603.47,119378825,9501221176.92,2.7
2022-02-06,Ethereum,ETH,365288302066.81,3057.48,119473804,9466018022.46,17.44
2022-02-13,Ethereum,ETH,344772260795.07,2883.46,119568797,9054963563.02,-5.69
2022-02-20,Ethereum,ETH,314553542349.47,2628.65,119663598,11641437833.56,-8.84
2022-02-27,Ethereum,ETH,313983181396.22,2621.8,119758550,16150857253.62,-0.26
2022-03-06,Ethereum,ETH,306229430306.07,2555.04,119853207,8872976606.77,-2.55
2022-03-13,Ethereum,ETH,302142844336.0,2518.94,119948188,8632000379.38,-1.41
2022-03-20,Ethereum,ETH,343377833604.3,2860.46,120042908,12684727326.19,13.56
2022-03-27,Ethereum,ETH,395441924035.77,3291.58,120137507,13431866833.79,15.07
2022-04-03,Ethereum,ETH,423557081705.0,3522.83,120231936,15333808649.33,7.03
2022-04-10,Ethereum,ETH,386471827350.58,3211.87,120326228,10427054789.95,-8.83
2022-04-17,Ethereum,ETH,360466921073.66,2993.4,120420434,10463091280.79,-6.8
2022-04-24,Ethereum,ETH,352230955093.53,2922.73,120514258,9696829579.36,-2.36
2022-05-01,Ethereum,ETH,341049885442.04,2827.76,120607955,15332730152.03,-3.25
2022-05-08,Ethereum,ETH,303859041426.83,2517.46,120700644,20802269935.31,-10.97
2022-05-15,Ethereum,ETH,259186464086.69,2145.71,120793055,14846088334.59,-14.77
2022-05-22,Ethereum,ETH,246986847793.1,2043.17,120884132,10941123403.41,-4.78
2022-05-29,Ethereum,ETH,219209358147.18,1812.03,120974400,10642556100.63,-11.31
2022-06-05,Ethereum,ETH,218544227813.81,1805.2,121063386,8850385937.2,-0.38
2022-06-12,Ethereum,ETH,175086938731.68,1445.22,121149272,23465074882.24,-19.94
2022-06-19,Ethereum,ETH,136710815909.94,1127.66,121234454,21795481981.07,-21.97
2022-06-26,Ethereum,ETH,145556215206.34,1199.83,121313867,12096607824.46,6.4
2022-07-03,Ethereum,ETH,130354920626.22,1073.77,121399635,8557248150.38,-10.51
2022-07-10,Ethereum,ETH,141954129136.53,1168.4,121494294,10984558038.55,8.81
2022-07-17,Ethereum,ETH,162763136859.6,1338.64,121588821,16079711736.59,14.57
2022-07-24,Ethereum,ETH,194631956742.76,1599.48,121684775,17217849556.78,19.49
2022-07-31,Ethereum,ETH,204771722888.53,1681.52,121777945,14200735369.87,5.13
2022-08-07,Ethereum,ETH,207103611495.11,1699.35,121872197,10252090340.17,1.06
2022-08-14,Ethereum,ETH,236222871624.36,1936.8,121965418,14062754455.96,13.97
2022-08-21,Ethereum,ETH,197650970990.21,1619.32,122058088,15849221751.57,-16.39
2022-08-28,Ethereum,ETH,174741315285.27,1430.55,122149971,12823572918.1,-11.66
2022-09-04,Ethereum,ETH,192853381586.06,1577.64,122241565,8884144997.97,10.28
2022-09-11,Ethereum,ETH,215523920726.08,1761.8,122331659,12464301922.09,11.67
2022-09-18,Ethereum,ETH,163478613611.79,1335.33,122425707,15762284723.02,-24.21
2022-09-25,Ethereum,ETH,158574740489.22,1294.22,122525641,11802651633.05,-3.08
2022-10-02,Ethereum,ETH,156481992824.69,1276.09,122625799,7578351650.34,-1.4
2022-10-09,Ethereum,ETH,162317860620.66,1322.6,122725943,5486230123.1,3.64
2022-10-16,Ethereum,ETH,159856564471.72,1306.3,122373863,7491625206.46,-1.23
2022-10-23,Ethereum,ETH,166850284146.24,1363.45,122373863,9909510924.7,4.37
2022-10-30,Ethereum,ETH,194670301516.9,1590.78,122373863,13930073426.96,16.67
2022-11-06,Ethereum,ETH,192400441552.21,1572.23,122373863,11632744704.51,-1.17
2022-11-13,Ethereum,ETH,149518741493.03,1221.82,122373866,10717455213.58,-22.29
2022-11-20,Ethereum,ETH,139808065217.86,1142.47,122373866,9651002683.98,-6.49
2022-11-27,Ethereum,ETH,146252301744.43,1195.13,122373866,4486976867.54,4.61
2022-12-04,Ethereum,ETH,156669949121.35,1280.26,122373866,5174128453.66,7.12
2022-12-11,Ethereum,ETH,154664480620.41,1263.87,122373866,3362005847.68,-1.28
2022-12-18,Ethereum,ETH,144978183335.92,1184.72,122373866,3350092519.49,-6.26
2022-12-25,Ethereum,ETH,149169092950.4,1218.96,122373866,3942720070.47,2.89
2023-01-01,Ethereum,ETH,146966709631.13,1200.96,122373866,2399674550.06,-1.48
2023-01-08,Ethereum,ETH,157539152133.38,1287.36,122373866,3495088904.55,7.19
2023-01-15,Ethereum,ETH,189982916189.84,1552.48,122373866,6774614498.74,20.59
2023-01-22,Ethereum,ETH,199271406209.8,1628.38,122373866,7517988734.0,4.89
2023-01-29,Ethereum,ETH,201446423701.84,1646.16,122373866,8801292299.89,1.09
2023-02-05,Ethereum,ETH,199670814561.87,1631.65,122373866,6926696530.54,-0.88
2023-02-12,Ethereum,ETH,185400529851.62,1515.03,122373866,5319698775.02,-7.15
2023-02-19,Ethereum,ETH,205763839949.87,1681.44,122373866,6959144003.26,10.98
2023-02-26,Ethereum,ETH,200793139093.29,1640.82,122373866,5727967432.13,-2.42
2023-03-05,Ethereum,ETH,191450085930.19,1564.47,122373866,5020886237.89,-4.65
2023-03-12,Ethereum,ETH,194610296521.5,1590.29,122373866,11480965121.79,1.65
2023-03-19,Ethereum,ETH,214867193142.62,1785.58,120334908,9170565472.22,12.28
2023-03-26,Ethereum,ETH,213675897791.88,1775.68,120334908,6990313307.25,-0.55
2023-04-02,Ethereum,ETH,216307003100.75,1795.71,120457776,6199721188.44,1.13
2023-04-09,Ethereum,ETH,223977715590.51,1859.39,120457776,6361497714.76,3.55
2023-04-16,Ethereum,ETH,253800479048.37,2120.01,119716878,7898126855.88,14.02
2023-04-23,Ethereum,ETH,224214876354.29,1862.06,120412140,6607451861.62,-12.17
2023-04-30,Ethereum,ETH,225975170377.91,1876.92,120396527,6539641957.29,0.8
2023-05-07,Ethereum,ETH,225414591269.89,1873.08,120344575,6883942236.42,-0.21
2023-05-14,Ethereum,ETH,221375138904.32,1800.5,122951966,4711210241.24,-3.87
2023-05-21,Ethereum,ETH,217032947920.33,1804.53,120271085,3386768865.1,0.22
2023-05-28,Ethereum,ETH,229798912476.57,1910.91,120256010,6359610561.11,5.9
2023-06-04,Ethereum,ETH,227308028004.55,1890.51,120236127,3747042695.61,-1.07
2023-06-11,Ethereum,ETH,210808348254.2,1753.42,120227282,4559112980.81,-7.25
