Date,Name,Symbol,Market Cap ($),Price ($),Circulating Supply ($),Volume (24hr) ($),% 7d
2020-11-22,Chainlink,LINK,5684167330.61,14.44,393509556,2199639007.61,19.16
2020-11-29,Chainlink,LINK,5275744093.41,13.37,394509556,1244611321.79,-7.42
2020-12-06,Chainlink,LINK,5336371894.38,13.49,395509556,1019945502.7,0.89
2020-12-13,Chainlink,LINK,5128336927.56,12.93,396509556,1038194829.71,-4.14
2020-12-20,Chainlink,LINK,5195479300.22,13.07,397509556,1142006159.64,1.05
2020-12-27,Chainlink,LINK,4833804693.48,12.13,398509556,2199716490.96,-7.19
2021-01-03,Chainlink,LINK,5453374284.89,13.65,399509556,2298964833.06,12.54
2021-01-10,Chainlink,LINK,6507250898.17,16.25,400509556,3058197027.37,19.03
2021-01-17,Chainlink,LINK,9301680726.27,23.17,401509556,5027606263.36,42.59
2021-01-24,Chainlink,LINK,9942734312.55,24.7,402509556,3727726939.58,6.63
2021-01-31,Chainlink,LINK,9129983491.14,22.6,404009556,2692563296.14,-8.52
2021-02-07,Chainlink,LINK,10052631510.17,24.79,405509556,2772921168.59,9.7
2021-02-14,Chainlink,LINK,13549479222.07,33.29,407009556,4767351610.51,34.29
2021-02-21,Chainlink,LINK,13951721504.7,34.15,408509556,1768919687.65,2.59
2021-02-28,Chainlink,LINK,10112284118.01,24.66,410009556,2019851812.52,-27.78
2021-03-07,Chainlink,LINK,11747862015.92,28.55,411509556,1305530074.24,15.75
2021-03-14,Chainlink,LINK,11890307546.33,28.79,413009556,1062176148.81,0.84
2021-03-21,Chainlink,LINK,12133871198.31,29.27,414509556,969809465.23,1.68
2021-04-04,Chainlink,LINK,12924960735.92,30.96,417509556,1148273070.19,15.96
2021-04-11,Chainlink,LINK,14212461608.28,33.92,419009556,1365984050.5,9.57
2024-02-11,Chainlink,LINK,11817711973.95,20.13,587099970,862425647.0,10.74
