Date,Name,Symbol,Market Cap ($),Price ($),Circulating Supply ($),Volume (24hr) ($),% 7d
2020-11-22,Litecoin,LTC,5452444708.33,82.7,65927052,6285046851.57,32.79
2020-11-29,Litecoin,LTC,5227758601.74,79.24,65977839,5314384737.92,-4.19
2020-12-06,Litecoin,LTC,5517178550.56,83.56,66030236,3454805956.94,5.45
2020-12-13,Litecoin,LTC,5418690204.45,82.0,66081073,3845040542.81,-1.86
2020-12-20,Litecoin,LTC,7583089812.36,114.67,66131986,8652067110.3,39.84
2020-12-27,Litecoin,LTC,8439551136.23,127.52,66183749,14103307412.12,11.21
2021-01-03,Litecoin,LTC,10610100156.81,160.19,66234230,15385661270.67,25.62
2021-01-10,Litecoin,LTC,11335608545.88,171.11,66245618,12774461582.48,6.82
2021-01-17,Litecoin,LTC,9443391846.2,142.43,66301604,6098835632.65,-16.76
2021-01-24,Litecoin,LTC,9387244667.67,141.48,66351591,4972171240.37,-0.67
2021-01-31,Litecoin,LTC,8602571147.43,129.57,66392815,4539387378.35,-8.42
2021-02-07,Litecoin,LTC,10041267657.73,151.14,66436829,6884924122.5,16.65
2021-02-14,Litecoin,LTC,14256947120.62,214.43,66487567,12902511398.51,41.88
2021-02-21,Litecoin,LTC,15119642134.26,227.23,66538538,6934669818.28,5.97
2021-02-28,Litecoin,LTC,10978655640.65,164.93,66566688,5945000100.92,-27.42
2021-03-07,Litecoin,LTC,12707914232.95,190.76,66617600,3541357558.34,15.66
2021-03-14,Litecoin,LTC,14350314678.57,215.3,66653852,4537627843.79,12.86
2021-03-21,Litecoin,LTC,13104314652.02,196.43,66713152,2758761603.78,-8.76
2021-03-28,Litecoin,LTC,12351098573.27,185.03,66752415,2162823814.55,-5.8
2021-04-04,Litecoin,LTC,13620356609.06,204.04,66752415,2866830148.91,10.28
2021-04-11,Litecoin,LTC,16930713065.35,253.63,66752415,6786514964.5,24.3
2021-04-18,Litecoin,LTC,18230006101.38,273.1,66752415,13129808269.06,7.67
2021-04-25,Litecoin,LTC,14928033321.88,223.63,66752415,3703413398.11,-18.11
2021-05-09,Litecoin,LTC,25796522602.13,386.45,66752415,9835832551.76,43.61
2023-07-02,Litecoin,LTC,8296138882.11,113.22,73276252,1783628931.85,28.25
2023-07-09,Litecoin,LTC,6979093222.57,95.18,73325552,412735847.34,-15.93
