Date,Name,Symbol,Market Cap ($),Price ($),Circulating Supply ($),Volume (24hr) ($),% 7d
2021-12-05,Terra,LUNA,26270930242.37,68.11,385738053,4569096546.03,35.95
2021-12-12,Terra,LUNA,23430129954.48,61.92,378396947,1424627922.4,-9.08
2021-12-19,Terra,LUNA,29259639594.93,78.23,374040100,2292707388.3,26.34
2021-12-26,Terra,LUNA,36262543327.79,99.72,363642472,2316030430.72,27.48
2022-01-02,Terra,LUNA,32335168164.92,89.37,361805570,1332237742.44,-10.38
2022-01-09,Terra,LUNA,26692037534.79,74.48,358401296,2317080033.86,-16.67
2022-01-16,Terra,LUNA,31185198011.78,86.96,358632502,1423445474.55,16.76
2022-01-23,Terra,LUNA,28144622469.34,69.79,403283833,2761811981.53,-19.74
2022-01-30,Terra,LUNA,18545785692.62,46.27,400787025,1589568943.73,-33.69
2022-02-06,Terra,LUNA,22492358593.97,56.1,400917013,1300455897.56,21.24
2022-02-13,Terra,LUNA,20575427609.16,51.79,397247467,879534649.92,-7.68
2022-02-20,Terra,LUNA,19226836917.01,49.36,389486652,1092855688.46,-4.69
2022-02-27,Terra,LUNA,27433571501.64,72.64,377653805,3108800926.0,47.15
2022-03-06,Terra,LUNA,29114643342.29,79.12,368000498,2728755238.73,8.91
2022-03-13,Terra,LUNA,32678817858.83,87.62,372970017,2537512233.51,10.75
2022-03-20,Terra,LUNA,33016693268.72,90.53,364695245,1843608272.45,3.33
2022-03-27,Terra,LUNA,33552358834.73,94.15,356365476,1014543758.81,4.0
2022-04-03,Terra,LUNA,39928188006.62,113.07,353128511,2169660757.12,20.09
2022-04-10,Terra,LUNA,32861203909.72,92.58,354954895,1463279241.63,-18.12
2022-04-17,Terra,LUNA,27618721594.69,77.43,356705936,1068176019.13,-16.37
2022-04-24,Terra,LUNA,31597192079.1,90.56,348908025,1256729240.47,16.96
2022-05-01,Terra,LUNA,28361900934.02,82.24,344869364,1788318413.08,-9.19
2022-05-08,Terra,LUNA,21985748300.18,64.08,343092422,5108105142.2,-22.08
