Date,Name,Symbol,Market Cap ($),Price ($),Circulating Supply ($),Volume (24hr) ($),% 7d
2022-11-13,Polygon,MATIC,7756599334.92,0.888,8734317475,631517870.09,-21.96
2022-11-20,Polygon,MATIC,7053603934.0,0.808,8734317475,379584713.61,-9.06
2022-11-27,Polygon,MATIC,7379662277.41,0.845,8734317475,199630187.45,4.62
2022-12-04,Polygon,MATIC,8054081647.03,0.922,8734317475,173986591.16,9.14
2022-12-11,Polygon,MATIC,7801777342.67,0.893,8734317475,141914042.78,-3.13
2022-12-18,Polygon,MATIC,7108547487.79,0.814,8734317475,179850704.06,-8.89
2022-12-25,Polygon,MATIC,6944943117.07,0.795,8734317475,118950074.26,-2.3
2023-01-01,Polygon,MATIC,6637843574.08,0.76,8734317475,106486710.51,-4.42
2023-01-08,Polygon,MATIC,7340068921.74,0.84,8734317475,221262874.77,10.58
2023-01-15,Polygon,MATIC,8590354227.14,0.984,8734317475,418050491.89,17.03
2023-01-29,Polygon,MATIC,10287973680.62,1.178,8734317475,629748130.64,18.49
2023-02-05,Polygon,MATIC,10520492555.05,1.204,8734317475,562393241.48,2.26
2023-02-12,Polygon,MATIC,10817588615.26,1.238,8734317475,543445136.45,2.82
2023-02-19,Polygon,MATIC,12914141714.13,1.479,8734317475,719130732.84,19.38
2023-02-26,Polygon,MATIC,11190260041.65,1.281,8734317475,413456032.07,-13.35
2023-03-05,Polygon,MATIC,9934851222.82,1.138,8734317475,306480585.24,-11.22
2023-03-12,Polygon,MATIC,10105499451.28,1.157,8734317475,705749746.15,1.72
2023-03-19,Polygon,MATIC,10812234016.12,1.169,9249469069,435055212.43,1.03
2023-03-26,Polygon,MATIC,10226198412.17,1.106,9249469069,274232223.71,-5.42
2023-04-02,Polygon,MATIC,9956789008.66,1.096,9080469069,212264952.91,-0.82
2023-04-09,Polygon,MATIC,10098527207.32,1.102,9164469069,180663392.78,0.49
2023-04-16,Polygon,MATIC,10914575665.59,1.184,9219469069,267047390.1,7.44
2023-04-23,Polygon,MATIC,9253357893.37,1.004,9219469069,396078444.4,-15.22
2023-04-30,Polygon,MATIC,9102226857.82,0.984,9249469069,354171919.79,-1.95
2023-05-07,Polygon,MATIC,8931518969.56,0.966,9249469069,316017023.76,-1.88
2023-05-14,Polygon,MATIC,7952441482.38,0.86,9249469069,285395449.21,-10.96
2023-05-21,Polygon,MATIC,7950488212.36,0.857,9279469069,193636551.23,-0.35
2023-05-28,Polygon,MATIC,8740222969.48,0.942,9279469069,271853006.7,9.93
2023-06-04,Polygon,MATIC,8289867862.57,0.893,9279469069,180971684.41,-5.15
