Date,Name,Symbol,Market Cap ($),Price ($),Circulating Supply ($),Volume (24hr) ($),% 7d
2021-08-22,Solana,SOL,20875322466.33,72.8,286733521,968933848.51,35.46
2021-08-29,Solana,SOL,27485451270.31,94.47,290944715,1830344091.1,29.76
2021-09-05,Solana,SOL,41399255561.46,142.07,291398606,2996918104.87,50.39
2021-09-12,Solana,SOL,51204891389.06,174.54,293374523,3012633093.73,22.85
2021-09-19,Solana,SOL,45292491129.39,152.52,296967427,3350530307.68,-12.62
2021-09-26,Solana,SOL,40359412132.89,135.7,297417816,2674182808.76,-11.03
2021-10-03,Solana,SOL,51403969858.98,172.59,297840086,3149579954.08,27.18
2021-10-10,Solana,SOL,44350090749.45,148.05,299564177,1556965340.96,-14.22
2021-10-17,Solana,SOL,48010299921.57,159.74,300545627,2168838138.18,7.9
2021-10-24,Solana,SOL,60902871289.69,202.36,300960044,3413057377.52,26.68
2021-10-31,Solana,SOL,61003141449.57,202.42,301367632,2577364485.82,0.03
2021-11-07,Solana,SOL,75574730064.49,249.82,302512515,2624869522.47,23.42
2021-11-14,Solana,SOL,72293544193.71,238.43,303212270,1705211599.76,-4.56
2021-11-21,Solana,SOL,70320903400.09,231.28,304047493,2636480460.22,-3.0
2021-11-28,Solana,SOL,61015258055.83,200.68,304047623,2033215941.23,-13.23
2021-12-05,Solana,SOL,59983315118.44,196.17,305774824,3402591974.54,-2.25
2021-12-12,Solana,SOL,53355770601.39,173.43,307647226,1196808539.97,-11.59
2021-12-19,Solana,SOL,55490684848.85,180.1,308113743,1678714066.28,3.84
2021-12-26,Solana,SOL,61170181005.5,198.0,308939172,1971114647.24,9.94
2022-01-02,Solana,SOL,54552495291.77,176.38,309284593,995389409.2,-10.92
2022-01-09,Solana,SOL,43849094270.1,140.84,311341963,1599123911.69,-20.15
2022-01-16,Solana,SOL,46428403266.75,147.86,314009861,1172854751.03,4.98
2022-01-23,Solana,SOL,31336377846.28,99.58,314691080,2548191912.14,-32.65
2022-01-30,Solana,SOL,29398127131.31,93.3,315100324,1110338980.55,-6.31
2022-02-06,Solana,SOL,36532195892.09,115.3,316845383,1488437091.46,23.58
2022-02-13,Solana,SOL,29629765453.55,93.24,317765575,1150014559.45,-19.13
2022-02-20,Solana,SOL,29057463086.34,90.9,319659085,1912980153.2,-2.51
2022-02-27,Solana,SOL,27371485041.05,85.52,320063008,2012522472.71,-5.92
2022-03-06,Solana,SOL,27115147513.74,84.54,320729197,1467561781.76,-1.14
2022-03-13,Solana,SOL,25492592996.76,78.94,322952389,1316842579.7,-6.63
2022-03-20,Solana,SOL,28388486843.57,88.61,320358097,1286133602.74,12.26
2022-03-27,Solana,SOL,34798921340.59,107.08,324967786,1572329891.84,20.84
2022-04-03,Solana,SOL,44563278264.23,136.78,325813733,2585967811.87,27.73
2022-04-10,Solana,SOL,36612845093.24,111.74,327653902,1280232450.32,-18.3
2022-04-17,Solana,SOL,33448341308.02,100.41,333118638,1057908298.94,-10.14
2022-04-24,Solana,SOL,33101881730.6,99.24,333567967,818266007.64,-1.17
2022-05-01,Solana,SOL,29986417059.76,89.67,334402963,1426749080.48,-9.64
2022-05-08,Solana,SOL,25222885523.01,75.22,335320721,1439700867.64,-16.12
2022-05-15,Solana,SOL,19846538361.82,58.81,337461546,1843835577.83,-21.81
2022-05-22,Solana,SOL,17898175243.17,52.76,339268593,1105760506.0,-10.3
2022-05-29,Solana,SOL,15248168487.38,44.91,339530166,1317843243.33,-14.87
2022-06-05,Solana,SOL,13075923614.97,38.48,339806210,998532386.92,-14.32
2022-06-12,Solana,SOL,10516559194.38,30.74,342076776,1430666509.61,-20.11
2022-06-19,Solana,SOL,11724330826.15,34.24,342378734,2005402608.2,11.39
