Date,Name,Symbol,Market Cap ($),Price ($),Circulating Supply ($),Volume (24hr) ($),% 7d
2023-09-17,Toncoin,TON,7950782673.16,2.317,3431892088,50336185.95,34.7
2023-09-24,Toncoin,TON,7543969078.62,2.198,3431892088,23514194.46,-5.12
2024-04-07,Toncoin,TON,18637549799.82,5.37,3470633063,106856795.84,-0.83
2024-04-14,Toncoin,TON,23471360006.05,6.762,3470817229,658770775.97,25.93
2024-04-21,Toncoin,TON,21327224325.21,6.144,3471227561,208390924.15,-9.15
2024-04-28,Toncoin,TON,18830976699.79,5.423,3472455536,125234664.01,-11.74
2024-05-05,Toncoin,TON,20721801677.06,5.966,3473281543,186032096.07,10.01
2024-05-12,Toncoin,TON,24148779194.82,6.951,3474141028,296325363.97,16.51
2024-05-19,Toncoin,TON,21755269777.52,6.261,3474486344,170287351.12,-9.92
2024-05-26,Toncoin,TON,21920336789.34,6.309,3474700934,108700712.57,0.75
2024-06-02,Toncoin,TON,16447920886.58,6.818,2412320622,377229378.87,8.08
2024-06-09,Toncoin,TON,17292358051.54,7.111,2431675525,246335084.46,4.3
2024-06-16,Toncoin,TON,19327941425.62,7.944,2432960178,260687414.16,11.71
2024-06-23,Toncoin,TON,18468364592.55,7.513,2458268089,299662847.79,-5.43
2024-06-30,Toncoin,TON,18784759659.98,7.636,2459988374,167404823.89,1.64
2024-07-07,Toncoin,TON,17725858086.06,7.073,2506092958,311076497.81,-7.37
2024-07-14,Toncoin,TON,18633736452.88,7.433,2506940212,182644257.92,5.09
2024-07-21,Toncoin,TON,18025108264.22,7.168,2514845620,196773566.98,-3.57
2024-07-28,Toncoin,TON,16656804729.63,6.619,2516583430,135146636.58,-7.65
