Date,Name,Symbol,Market Cap ($),Price ($),Circulating Supply ($),Volume (24hr) ($),% 7d
2023-06-11,TRON,TRX,6323858325.69,0.07,90112917771,157686551.83,-13.87
2023-06-18,TRON,TRX,6313729413.61,0.07,90041039992,147583377.04,-0.08
2023-06-25,TRON,TRX,6552160613.12,0.073,89505888702,144466984.33,4.4
2023-07-16,TRON,TRX,7165125468.61,0.08,89767023409,150273704.17,2.95
2023-07-23,TRON,TRX,7477256803.73,0.083,89695581528,247135687.08,4.44
2023-07-30,TRON,TRX,7172404391.53,0.08,89625402940,233497362.98,-4.0
2023-08-06,TRON,TRX,6881851198.68,0.077,89550963678,143000099.34,-3.97
2023-08-13,TRON,TRX,6899883266.17,0.077,89482977636,144796320.6,0.34
2023-08-20,TRON,TRX,6787136747.23,0.076,89420038975,156526806.79,-1.56
2023-08-27,TRON,TRX,6927112803.24,0.078,89364250951,115622857.53,2.13
2023-09-03,TRON,TRX,6879948257.01,0.077,89302662176,107374125.92,-0.61
2023-09-10,TRON,TRX,6990176522.23,0.078,89242682008,118374750.23,1.67
2023-10-01,TRON,TRX,8025916797.69,0.09,89060096201,150130603.39,7.78
2023-10-08,TRON,TRX,7834143794.91,0.088,89000385246,102573431.35,-2.32
2023-10-15,TRON,TRX,7709396221.49,0.087,88937318171,185613393.18,-1.52
2023-10-22,TRON,TRX,8033271432.7,0.09,88882248218,174571243.38,4.27
2023-10-29,TRON,TRX,8426596795.82,0.095,88814369066,142054658.46,4.98
2023-11-05,TRON,TRX,8717440860.62,0.098,88754266084,165027504.5,3.52
2023-11-12,TRON,TRX,9614779849.43,0.108,88688417344,222855732.04,10.38
2023-11-19,TRON,TRX,9172924326.61,0.104,88628129776,177524932.68,-4.53
2023-11-26,TRON,TRX,9552886970.78,0.108,88572076759,231468428.43,4.21
2023-12-03,TRON,TRX,9131806196.65,0.103,88518737552,210464602.0,-4.35
