Date,Name,Symbol,Market Cap ($),Price ($),Circulating Supply ($),Volume (24hr) ($),% 7d
2021-03-07,Uniswap,UNI,17864556536.12,34.28,521162962,1593346979.08,54.48
2021-03-14,Uniswap,UNI,16067786777.55,30.8,521748766,558846418.29,-10.16
2021-03-21,Uniswap,UNI,17057432330.1,32.68,521893382,488482019.0,6.13
2021-03-28,Uniswap,UNI,14532441592.39,27.84,521996292,412582101.22,-14.82
2021-04-04,Uniswap,UNI,16219657547.08,31.07,522110657,457926442.94,11.59
2021-04-11,Uniswap,UNI,15689099387.79,29.98,523334542,447643489.1,-3.5
2021-04-25,Uniswap,UNI,17736838127.63,33.89,523384244,1068206314.09,6.75
2021-05-02,Uniswap,UNI,22153449417.44,42.33,523384244,1047562019.37,24.9
2021-05-30,Uniswap,UNI,14562759375.83,25.74,565708400,782067311.97,52.9
2021-06-06,Uniswap,UNI,14639766964.58,25.91,564969717,333386144.48,0.66
2021-06-13,Uniswap,UNI,13386217335.99,23.27,575149653,408171936.66,-10.18
2021-06-20,Uniswap,UNI,11967307035.91,20.81,575171206,368331090.48,-10.6
2021-07-04,Uniswap,UNI,12198611170.77,20.77,587265785,540490915.07,21.5
2021-07-11,Uniswap,UNI,12145668777.95,20.68,587285243,268848503.64,-0.44
2021-08-01,Uniswap,UNI,12941271988.56,22.03,587376043,490870113.26,20.59
2021-08-08,Uniswap,UNI,15696933988.76,26.72,587403080,452883068.07,21.29
2021-08-15,Uniswap,UNI,17770939865.8,30.25,587427280,420500472.93,13.21
