Date,Name,Symbol,Market Cap ($),Price ($),Circulating Supply ($),Volume (24hr) ($),% 7d
2021-05-23,USD Coin,USDC,14386222481.21,1.0,14380157844,5171953965.05,0.03
2021-05-30,USD Coin,USDC,22421676957.19,1.0,22432927813,2190418516.57,-0.09
2021-06-06,USD Coin,USDC,23003536496.45,1.001,22990271580,1383139176.99,0.11
2021-06-13,USD Coin,USDC,23641140562.15,1.0,23649890102,1731376605.73,-0.09
2021-06-20,USD Coin,USDC,24440364970.14,1.001,24416881481,2004269887.07,0.13
2021-06-27,USD Coin,USDC,25791977537.2,1.001,25776737766,2006379614.62,-0.04
2021-07-04,USD Coin,USDC,25511718609.01,1.0,25524471079,1578667344.18,-0.11
2021-07-11,USD Coin,USDC,26133666247.64,1.0,26126675629,1380260792.3,0.08
2021-07-18,USD Coin,USDC,26652079403.79,1.001,26636799827,1646186031.35,0.03
2021-07-25,USD Coin,USDC,27044509769.76,1.0,27055677535,1597724491.94,-0.1
2021-08-01,USD Coin,USDC,27421062363.65,1.0,27416649779,2486455912.3,0.06
2021-08-08,USD Coin,USDC,27689009820.37,1.0,27700394050,3012509724.52,-0.06
2021-08-15,USD Coin,USDC,27646951090.44,1.0,27651125346,2487714411.85,0.03
2021-08-22,USD Coin,USDC,26978962721.1,1.0,26974453355,2003215527.21,0.03
2021-08-29,USD Coin,USDC,27229668411.96,1.0,27216121456,1949814216.7,0.03
2021-09-05,USD Coin,USDC,27797091080.19,1.0,27808907632,2324755018.19,-0.09
2021-09-12,USD Coin,USDC,29218183032.74,1.0,29233079596,2394483276.56,-0.01
2021-09-19,USD Coin,USDC,29443458704.74,1.0,29435964786,2034748121.29,0.08
2021-09-26,USD Coin,USDC,31087854743.24,1.0,31079938619,3719002400.14,0.01
2021-10-03,USD Coin,USDC,32215973731.74,1.0,32226249729,2262697516.44,-0.06
2021-10-10,USD Coin,USDC,33174239300.06,1.001,33154427990,2553564242.67,0.09
2021-10-17,USD Coin,USDC,32706400844.5,1.0,32696635999,2647518203.1,-0.03
2021-10-24,USD Coin,USDC,32598764545.05,1.0,32588712506,2877560292.59,0.01
2021-11-07,USD Coin,USDC,34343466491.13,1.001,34321193884,3580619669.24,0.09
2021-11-14,USD Coin,USDC,34412186959.27,1.0,34424351584,3318788370.98,-0.1
2021-11-21,USD Coin,USDC,38399613597.76,1.0,38390605453,3314709429.17,0.06
2021-11-28,USD Coin,USDC,38387942291.41,1.0,38392743774,4387793389.95,-0.04
2021-12-05,USD Coin,USDC,40884696965.55,0.999,40937321254,5815739518.97,-0.12
2021-12-12,USD Coin,USDC,41641107198.51,1.0,41631177738,3253441867.86,0.15
2021-12-19,USD Coin,USDC,42061885365.57,1.0,42066799177,3413716404.12,-0.04
2021-12-26,USD Coin,USDC,42392023711.45,0.999,42429875308,2674907882.91,-0.08
2022-01-02,USD Coin,USDC,42562534941.23,1.0,42572544666,2491554184.76,0.07
2022-01-09,USD Coin,USDC,43635467097.34,1.0,43642646024,2921877299.23,0.01
2022-01-16,USD Coin,USDC,45434277767.95,1.0,45448296433,2296999988.05,-0.01
2022-01-23,USD Coin,USDC,47651385218.76,1.0,47644490426,4572234576.78,0.05
2022-01-30,USD Coin,USDC,49800880429.14,1.0,49797637583,2333906963.39,-0.01
2022-02-06,USD Coin,USDC,51054224335.1,1.0,51036025522,2185135025.31,0.03
2022-02-13,USD Coin,USDC,52360369755.16,1.0,52361250170,2123450728.23,-0.04
2022-02-20,USD Coin,USDC,52596647717.63,1.0,52596483785,2869319070.39,0.01
2022-02-27,USD Coin,USDC,53370799001.14,1.0,53385655660,4352100239.02,-0.03
2022-03-06,USD Coin,USDC,52838496192.22,1.0,52846388125,3162813903.27,0.01
2022-03-13,USD Coin,USDC,52427364797.89,1.0,52429204079,2802399957.95,0.01
2022-03-20,USD Coin,USDC,53000906379.47,1.0,53004490761,2943598189.66,0.0
2022-03-27,USD Coin,USDC,52083027076.46,1.0,52080992407,3193250085.24,0.01
2022-04-03,USD Coin,USDC,51633984578.7,1.0,51629119959,3383196458.73,0.01
2022-04-10,USD Coin,USDC,50992961339.02,1.0,51012046682,2315716299.79,-0.05
2022-04-17,USD Coin,USDC,50008804043.11,0.999,50045910866,2678573074.69,-0.04
2022-04-24,USD Coin,USDC,49890528149.94,1.0,49892351394,2649077080.06,0.07
2022-05-01,USD Coin,USDC,49298296906.65,1.0,49279500715,3757508035.79,0.04
2022-05-08,USD Coin,USDC,48681199304.73,1.0,48676959278,5432001418.49,-0.03
2022-05-15,USD Coin,USDC,51148192672.29,1.0,51138846685,4610661832.24,0.01
2022-05-22,USD Coin,USDC,53139292857.26,1.0,53134419990,3493584223.34,-0.01
2022-05-29,USD Coin,USDC,53728403269.23,1.001,53696928064,3972282487.73,0.05
2022-06-05,USD Coin,USDC,54094982708.31,1.0,54087184371,3227635577.84,-0.04
2022-06-12,USD Coin,USDC,53994300101.33,1.0,53991679228,6008997675.76,-0.01
2022-06-19,USD Coin,USDC,55900557576.7,1.0,55877977876,6073489273.35,0.04
2022-06-26,USD Coin,USDC,55876331532.71,1.0,55886776114,3243270527.51,-0.06
2022-07-03,USD Coin,USDC,55823349220.82,1.0,55802605113,3614447153.74,0.06
2022-07-10,USD Coin,USDC,55548556605.24,1.0,55546939563,4439375697.55,-0.03
2022-07-17,USD Coin,USDC,54805466618.9,1.0,54791821096,5540927849.8,0.02
2022-07-24,USD Coin,USDC,55099785177.26,1.0,55095163750,4866184511.06,-0.02
2022-07-31,USD Coin,USDC,54455842443.43,1.0,54466880787,7124030236.65,-0.03
2022-08-07,USD Coin,USDC,54275863425.54,1.0,54280268796,3504912367.47,0.01
2022-08-14,USD Coin,USDC,53593155481.32,1.0,53601293517,4448890164.94,-0.01
2022-08-21,USD Coin,USDC,52546676703.59,1.0,52539276742,5446317940.5,0.03
2022-08-28,USD Coin,USDC,52200895875.09,1.0,52199284884,6479740106.68,-0.01
2022-09-04,USD Coin,USDC,51881772221.08,1.0,51876228265,6332291605.54,0.01
2022-09-11,USD Coin,USDC,51601695543.86,1.0,51604205337,5285353049.05,-0.02
2022-09-18,USD Coin,USDC,50190456315.35,1.0,50186584186,4028540366.42,0.01
2022-09-25,USD Coin,USDC,49589400501.4,1.0,49590970990,3878358168.17,-0.01
2022-10-02,USD Coin,USDC,47325233841.02,1.0,47325673086,2933405193.15,0.01
2022-10-09,USD Coin,USDC,46061806382.74,1.0,46062124068,2260430909.63,0.01
2022-10-16,USD Coin,USDC,45001378931.41,1.0,45003483993,2511992439.96,0.0
2022-10-23,USD Coin,USDC,43948066114.08,1.0,43946761291,2276952461.85,0.01
2022-10-30,USD Coin,USDC,43701223013.97,1.0,43696202166,3672657263.93,0.01
