Date,Name,Symbol,Market Cap ($),Price ($),Circulating Supply ($),Volume (24hr) ($),% 7d
2020-11-22,Tether,USDT,18454866337.44,0.999,18469593301,80187383235.39,-0.14
2020-11-29,Tether,USDT,19126891187.77,1.001,19109887105,56283936387.92,0.17
2020-12-06,Tether,USDT,19683467750.66,1.001,19659810789,41702527217.65,0.03
2020-12-13,Tether,USDT,19834034804.91,1.0,19834995609,39919658599.46,-0.13
2020-12-20,Tether,USDT,20293091729.71,1.0,20300339262,62633975827.95,-0.03
2020-12-27,Tether,USDT,20729387121.49,0.999,20753166934,95264858228.06,-0.08
2021-01-03,Tether,USDT,21340101768.04,1.0,21329136250,120425679796.27,0.17
2021-01-10,Tether,USDT,24229726418.89,1.0,24224312725,135437984723.47,-0.03
2021-01-17,Tether,USDT,24335202163.05,1.0,24325132871,91132972168.09,0.02
2021-01-24,Tether,USDT,24852549110.9,1.001,24817394865,84413124756.06,0.1
2021-01-31,Tether,USDT,26451988954.48,1.001,26430641890,101327508211.51,-0.06
2021-02-07,Tether,USDT,28640986238.57,1.001,28606332458,130348566846.52,0.04
2021-02-14,Tether,USDT,32031576069.7,1.001,32007698002,138353850761.13,-0.05
2021-02-21,Tether,USDT,34895372107.19,1.0,34883796222,102446076715.28,-0.04
2021-02-28,Tether,USDT,35051423319.75,1.002,34977434546,106489914974.57,0.18
2021-03-07,Tether,USDT,36472973681.61,1.0,36461381803,70107811560.87,-0.18
2021-03-14,Tether,USDT,38235568474.54,1.0,38243573409,83527066354.32,-0.05
2021-03-21,Tether,USDT,39706127967.31,1.001,39655367576,75434025575.31,0.15
2021-03-28,Tether,USDT,40500517196.83,1.001,40475941170,69313550903.74,-0.07
2021-04-04,Tether,USDT,42503862983.73,1.003,42359752850,99459708393.33,0.28
2021-04-11,Tether,USDT,44521618210.48,1.002,44424922421,100277986731.64,-0.12
2021-04-18,Tether,USDT,48080200312.27,1.0,48075190515,226468468195.48,-0.21
2021-04-25,Tether,USDT,49961963196.98,1.0,49965254439,91733321073.75,-0.02
2021-05-02,Tether,USDT,51788836339.95,1.0,51781989851,87140031399.53,0.02
2021-05-09,Tether,USDT,55539697236.75,1.0,55536494298,177124716915.74,-0.01
2021-05-16,Tether,USDT,58308356800.72,1.0,58309798199,156189820298.34,-0.01
2021-05-23,Tether,USDT,59533859940.62,1.002,59434391387,166357484551.63,0.17
2021-05-30,Tether,USDT,61742398035.71,1.0,61738511498,76081689608.34,-0.16
2021-06-06,Tether,USDT,62298516610.6,1.001,62246255385,54108953419.13,0.08
2021-06-13,Tether,USDT,62574982573.8,1.0,62591701539,62855843707.98,-0.11
2021-06-20,Tether,USDT,62631120301.17,1.001,62576335047,57176763747.27,0.11
2021-06-27,Tether,USDT,62565275501.32,1.001,62525151502,53158745469.26,-0.02
2021-07-04,Tether,USDT,62342742987.58,1.0,62373875280,43066655707.51,-0.11
