Date,Name,Symbol,Market Cap ($),Price ($),Circulating Supply ($),Volume (24hr) ($),% 7d
2020-11-22,XRP,XRP,20112122023.93,0.444,45328155123,19097682286.03,64.55
2020-11-29,XRP,XRP,27492190917.68,0.606,45348221180,15391721338.94,36.63
2020-12-06,XRP,XRP,28100510377.08,0.62,45334295892,10280250882.39,2.24
2020-12-13,XRP,XRP,23222510728.94,0.511,45404028640,8534780504.47,-17.49
2020-12-20,XRP,XRP,25247252304.51,0.556,45404028640,9611613769.78,8.72
2020-12-27,XRP,XRP,12851124973.13,0.283,45404028640,9250325477.88,-49.1
2021-01-03,XRP,XRP,10254417776.8,0.226,45404028640,5109898871.42,-20.21
2021-01-10,XRP,XRP,14453755388.35,0.318,45404028640,9647740012.28,40.95
2021-01-17,XRP,XRP,12594335138.24,0.277,45404028640,3488557208.01,-12.86
2021-01-24,XRP,XRP,12418387933.0,0.274,45404028640,2472431874.99,-1.4
2021-01-31,XRP,XRP,22353042408.26,0.492,45404028640,24394851755.58,80.0
2021-02-07,XRP,XRP,18976956806.59,0.418,45404028640,7495069764.55,-15.1
2021-02-14,XRP,XRP,26978760718.16,0.594,45404028640,10460949240.48,42.17
2021-02-21,XRP,XRP,24906840533.95,0.549,45404028640,6569716152.88,-7.68
2021-02-28,XRP,XRP,18840545903.33,0.415,45404028640,4325860134.43,-24.36
2021-03-07,XRP,XRP,21197655054.81,0.467,45404028640,2364586464.2,12.51
2021-03-14,XRP,XRP,20073643665.36,0.442,45404028640,2509435799.58,-5.3
2021-03-21,XRP,XRP,23602621698.97,0.52,45404028640,5539749484.47,17.58
2021-03-28,XRP,XRP,25006533341.53,0.551,45404028640,2795107714.91,5.95
2021-04-04,XRP,XRP,29364108460.54,0.647,45404028640,4613898769.21,17.43
2021-04-11,XRP,XRP,61773544985.42,1.36,45404028640,21224874412.44,110.37
2021-04-18,XRP,XRP,63837977820.22,1.406,45404028640,22933939681.62,3.34
2021-04-25,XRP,XRP,46868572792.79,1.032,45404028640,8573604939.48,-26.58
2021-05-02,XRP,XRP,70950198082.14,1.563,45404028640,6933641360.86,51.38
2021-05-09,XRP,XRP,53901564261.5,1.535,35108326973,8243079607.25,-1.75
2021-05-16,XRP,XRP,50998556787.34,1.453,35108326973,12405363634.24,-5.39
2021-05-23,XRP,XRP,36770599361.44,0.797,46135372183,10816054413.04,-45.13
2021-05-30,XRP,XRP,41834196844.25,0.907,46143602688,4077064725.02,13.75
2021-06-06,XRP,XRP,43625920334.92,0.945,46151013329,2308242806.66,4.27
2021-06-13,XRP,XRP,40792805237.04,0.883,46189574356,3059837086.14,-6.57
2021-06-20,XRP,XRP,35873098743.8,0.776,46205772880,3068578655.98,-12.09
2021-06-27,XRP,XRP,29916626946.07,0.647,46244517593,2329301222.1,-16.67
2021-07-04,XRP,XRP,32069596319.39,0.695,46146927647,1885241526.85,7.42
2021-07-11,XRP,XRP,29362251755.44,0.636,46171815477,1495491616.46,-8.49
2021-07-18,XRP,XRP,27171802324.92,0.588,46216687135,1567538722.2,-7.55
2021-07-25,XRP,XRP,28053282512.19,0.606,46265302471,1707767304.81,3.14
2021-08-01,XRP,XRP,33619230716.93,0.726,46312443360,2529023488.35,19.72
2021-08-08,XRP,XRP,36147218021.42,0.779,46417606117,3954749759.45,7.28
2021-08-15,XRP,XRP,59793290470.88,1.288,46417606117,10899164864.23,65.42
2021-08-22,XRP,XRP,57054490733.29,1.228,46471846087,4452016856.08,-4.69
2021-08-29,XRP,XRP,53064210217.42,1.141,46513604835,3456541618.6,-7.08
2021-09-05,XRP,XRP,60760906594.85,1.306,46542338341,4077886190.4,14.43
2021-09-12,XRP,XRP,52158563410.69,1.12,46585282244,3403286575.57,-14.24
2021-09-19,XRP,XRP,48880060223.91,1.048,46622239005,2148537762.63,-6.36
2021-09-26,XRP,XRP,44135149070.75,0.945,46717640571,3142032668.82,-9.89
2021-10-03,XRP,XRP,49329658369.86,1.055,46750439262,3496121109.11,11.69
2021-10-10,XRP,XRP,53286170975.51,1.138,46805773456,5165905722.91,7.89
2021-10-17,XRP,XRP,51259722973.64,1.094,46878114887,3227519874.1,-3.95
2021-10-24,XRP,XRP,50903113917.35,1.084,46946349017,2240272601.54,-0.84
2021-10-31,XRP,XRP,52339587880.1,1.113,47015237181,4607785326.87,2.67
2021-11-07,XRP,XRP,57323540669.26,1.218,47081679946,3384556620.17,9.37
2021-11-14,XRP,XRP,56053003302.56,1.189,47158974920,2210065757.16,-2.38
2021-11-21,XRP,XRP,49996674605.71,1.06,47158974920,2213864918.06,-10.8
2021-11-28,XRP,XRP,45685317112.37,0.969,47158974920,2605488238.82,-8.62
2021-12-05,XRP,XRP,38062181528.71,0.806,47247295769,3553480780.08,-16.84
2021-12-12,XRP,XRP,39750263455.56,0.841,47247295769,1628060313.23,4.44
2021-12-19,XRP,XRP,39453059810.78,0.835,47247295769,1576121375.25,-0.75
2021-12-26,XRP,XRP,43789189735.81,0.921,47535964473,1324703098.02,10.32
2022-01-02,XRP,XRP,40838984413.81,0.859,47535964473,1134033205.41,-6.74
2022-01-09,XRP,XRP,35897214432.04,0.754,47577198013,1182503165.68,-12.18
2022-01-16,XRP,XRP,37127364883.23,0.779,47663117635,1005077258.35,3.24
2022-01-23,XRP,XRP,30014890499.04,0.629,47736918345,1851934912.68,-19.28
2022-01-30,XRP,XRP,28793982069.82,0.603,47736918345,870878595.81,-4.07
2022-02-06,XRP,XRP,32700536071.05,0.684,47832461678,1095140341.04,13.34
2022-02-13,XRP,XRP,38757348317.38,0.81,47832461678,2504198746.58,18.52
2022-02-20,XRP,XRP,37318724162.96,0.778,47949281138,3041836889.08,-3.95
2022-02-27,XRP,XRP,34619021225.69,0.722,47949281138,2733141781.58,-7.23
2022-03-06,XRP,XRP,34810891621.79,0.726,47949281138,1862292223.91,0.55
2022-03-13,XRP,XRP,36579969142.85,0.761,48046106688,2141326402.06,4.87
2022-03-20,XRP,XRP,38791824340.83,0.806,48121609012,1529598149.17,5.88
2022-03-27,XRP,XRP,41256704402.49,0.857,48121609012,1505124769.96,6.35
2022-04-03,XRP,XRP,40575582678.21,0.843,48135209660,1348476817.45,-1.68
2022-04-10,XRP,XRP,36419765609.95,0.757,48135209660,1046936968.31,-10.24
2022-04-17,XRP,XRP,36253212424.26,0.753,48135209660,1350930296.9,-0.46
2022-04-24,XRP,XRP,33613015003.12,0.699,48105234849,1108217931.57,-7.22
2022-05-01,XRP,XRP,29240494806.07,0.608,48105234849,1657999134.75,-13.01
2022-05-08,XRP,XRP,27387673911.86,0.566,48343101197,1505054300.34,-6.8
2022-05-15,XRP,XRP,21627310018.45,0.447,48343101197,1427697924.13,-21.03
2022-05-22,XRP,XRP,20417096592.8,0.422,48343101197,896133087.15,-5.6
2022-05-29,XRP,XRP,18806261247.61,0.389,48343101197,752879866.67,-7.89
2022-06-05,XRP,XRP,19113884341.16,0.395,48343101197,726398938.11,1.64
2022-06-12,XRP,XRP,16702074996.9,0.346,48343101197,1370072145.43,-12.62
2022-06-19,XRP,XRP,15762422675.4,0.326,48343101197,1159418571.89,-5.63
2022-06-26,XRP,XRP,17348594104.59,0.359,48343101197,789514304.34,10.06
2022-07-03,XRP,XRP,15552125745.52,0.322,48343101197,728566418.39,-10.36
2022-07-10,XRP,XRP,15743541093.95,0.326,48343101197,913229467.01,1.23
2022-07-17,XRP,XRP,16601593222.52,0.343,48343101197,1093079293.54,5.45
2022-07-24,XRP,XRP,17367749270.93,0.359,48343101197,912894826.94,4.61
2022-07-31,XRP,XRP,18392533898.45,0.38,48343101197,1359568595.8,5.9
2022-08-07,XRP,XRP,18008096794.9,0.372,48343101197,509151828.92,-2.09
2022-08-14,XRP,XRP,18498504133.52,0.376,49139217191,754512693.32,1.06
2022-08-21,XRP,XRP,17050167031.87,0.345,49377587823,835616993.23,-8.27
2022-08-28,XRP,XRP,16005208825.41,0.323,49537223666,596573621.1,-6.43
2022-09-04,XRP,XRP,16472643158.02,0.332,49646492379,431905799.58,2.69
2022-09-11,XRP,XRP,17694152749.41,0.355,49826021773,650515883.43,7.03
2022-09-18,XRP,XRP,17853819362.85,0.358,49826021773,2485765138.05,0.9
2022-09-25,XRP,XRP,24556855663.57,0.493,49848747475,3422191940.96,37.48
2022-10-02,XRP,XRP,22397914680.36,0.449,49900666456,1524148632.8,-8.89
2022-10-09,XRP,XRP,26627502146.72,0.534,49858575704,1789206998.45,18.98
2022-10-16,XRP,XRP,23833409894.58,0.477,49964184162,1028960254.99,-10.68
2022-10-23,XRP,XRP,23398675901.6,0.469,49887015710,950974304.98,-1.67
2022-10-30,XRP,XRP,22961905542.66,0.458,50085407159,964813817.23,-2.26
2022-11-06,XRP,XRP,23634830440.86,0.471,50215300844,940815147.6,2.66
2022-11-13,XRP,XRP,17088087647.79,0.34,50215300844,1064115310.68,-27.7
2022-11-20,XRP,XRP,18205365403.9,0.362,50298735565,1156162575.75,6.36
2022-11-27,XRP,XRP,19959580740.62,0.397,50298735565,630018233.07,9.64
2022-12-04,XRP,XRP,19638535967.25,0.391,50260446248,450960650.83,-1.53
2022-12-11,XRP,XRP,19238421245.59,0.382,50395461568,366643113.97,-2.3
2022-12-18,XRP,XRP,17633841639.89,0.35,50343500506,313888825.84,-8.25
2022-12-25,XRP,XRP,17438570226.36,0.346,50343500506,323700210.23,-1.11
2023-01-01,XRP,XRP,17054534692.06,0.339,50343500506,290828851.37,-2.2
2023-01-08,XRP,XRP,17462625810.96,0.345,50563767827,515669684.01,1.95
2023-01-15,XRP,XRP,19518617705.85,0.385,50713323547,829206058.27,11.44
2023-01-22,XRP,XRP,20367877363.74,0.401,50796877639,780764703.98,4.18
2023-01-29,XRP,XRP,21020729835.62,0.414,50803611248,566580330.7,3.19
2023-02-05,XRP,XRP,20265653496.69,0.399,50799084881,758068911.0,-3.58
2023-02-12,XRP,XRP,19064006848.43,0.375,50799084881,492457254.84,-5.93
2023-02-19,XRP,XRP,19624545305.66,0.386,50799084881,727659068.88,2.94
2023-02-26,XRP,XRP,19261559273.94,0.378,50950912949,441815644.65,-2.14
2023-03-05,XRP,XRP,18708866161.13,0.367,50950912949,505577640.08,-2.87
