Date,Name,Symbol,Market Cap ($),Price ($),Circulating Supply ($),Volume (24hr) ($),% 7d
2020-11-22,Bitcoin,BTC,340790183317.33,18370.0,18551450,41280434225.93,15.13
2020-11-22,Ethereum,ETH,63361036975.5,558.07,113536390,21967049601.05,24.69
2020-11-22,XRP,XRP,20112122023.93,0.444,45328155123,19097682286.03,64.55
2020-11-22,Tether,USDT,18454866337.44,0.999,18469593301,80187383235.39,-0.14
2020-11-22,Chainlink,LINK,5684167330.61,14.44,393509556,2199639007.61,19.16
2020-11-22,Litecoin,LTC,5452444708.33,82.7,65927052,6285046851.57,32.79
2020-11-22,Bitcoin Cash,BCH,5332294479.07,286.99,18579850,4952111958.49,18.9
2020-11-22,Polkadot,DOT,4825834134.07,5.482,880329011,1048639985.99,25.16
2020-11-22,Cardano,ADA,4503848489.46,0.145,31112484646,2294032111.65,44.0
2020-11-22,Binance Coin,BNB,4321376636.12,29.93,144406561,426289161.28,8.34
2020-11-29,Bitcoin,BTC,337336592123.07,18177.48,18557937,31133957704.27,-1.05
2020-11-29,Ethereum,ETH,65424084296.29,575.76,113631211,15017517758.17,3.17
2020-11-29,XRP,XRP,27492190917.68,0.606,45348221180,15391721338.94,36.63
2020-11-29,Tether,USDT,19126891187.77,1.001,19109887105,56283936387.92,0.17
2020-11-29,Chainlink,LINK,5275744093.41,13.37,394509556,1244611321.79,-7.42
2020-11-29,Bitcoin Cash,BCH,5277249777.39,283.93,18586350,2155292210.78,-1.07
2020-11-29,Litecoin,LTC,5227758601.74,79.24,65977839,5314384737.92,-4.19
2020-11-29,Cardano,ADA,5184554213.26,0.167,31112484646,1731327207.42,15.11
2020-11-29,Polkadot,DOT,4576446420.03,5.19,881721753,451787953.6,-5.32
2020-11-29,Binance Coin,BNB,4349179640.9,30.12,144406561,347773041.18,0.64
2020-12-06,Bitcoin,BTC,359123541247.06,19345.12,18564037,25293775713.52,6.42
2020-12-06,Ethereum,ETH,68452719868.01,601.91,113726030,11290893016.09,4.54
2020-12-06,XRP,XRP,28100510377.08,0.62,45334295892,10280250882.39,2.24
2020-12-06,Tether,USDT,19683467750.66,1.001,19659810789,41702527217.65,0.03
2020-12-06,Litecoin,LTC,5517178550.56,83.56,66030236,3454805956.94,5.45
2020-12-06,Chainlink,LINK,5336371894.38,13.49,395509556,1019945502.7,0.89
2020-12-06,Bitcoin Cash,BCH,5324074006.72,286.36,18592494,1662530478.01,0.85
2020-12-06,Cardano,ADA,4942739300.77,0.159,31112484646,886137949.41,-4.66
2020-12-06,Polkadot,DOT,4547051375.88,5.136,885352072,299285627.2,-1.05
2020-12-06,Binance Coin,BNB,4265885902.99,29.54,144406561,249993855.49,-1.92
2020-12-13,Bitcoin,BTC,355479173805.7,19142.38,18570268,25450468636.54,-1.05
2020-12-13,Ethereum,ETH,67115726662.03,589.66,113820439,9070377861.78,-2.03
2020-12-13,XRP,XRP,23222510728.94,0.511,45404028640,8534780504.47,-17.49
2020-12-13,Tether,USDT,19834034804.91,1.0,19834995609,39919658599.46,-0.13
2020-12-13,Litecoin,LTC,5418690204.45,82.0,66081073,3845040542.81,-1.86
2020-12-13,Chainlink,LINK,5128336927.56,12.93,396509556,1038194829.71,-4.14
2020-12-13,Bitcoin Cash,BCH,5121143076.24,275.35,18598769,1616017413.53,-3.84
2020-12-13,Cardano,ADA,4790208946.24,0.154,31112484646,675025744.79,-3.09
2020-12-13,Polkadot,DOT,4339944731.18,4.891,887294345,280953203.62,-4.76
2020-12-13,Binance Coin,BNB,4202475238.85,29.1,144406561,265728019.63,-1.49
2020-12-20,Bitcoin,BTC,436129331482.26,23477.3,18576643,37844228421.87,22.65
2020-12-20,Ethereum,ETH,72711065644.98,638.29,113915257,13375855441.56,8.25
2020-12-20,XRP,XRP,25247252304.51,0.556,45404028640,9611613769.78,8.72
2020-12-20,Tether,USDT,20293091729.71,1.0,20300339262,62633975827.95,-0.03
2020-12-20,Litecoin,LTC,7583089812.36,114.67,66131986,8652067110.3,39.84
2020-12-20,Bitcoin Cash,BCH,6476086511.26,348.16,18600863,6066519346.07,26.44
2020-12-20,Chainlink,LINK,5195479300.22,13.07,397509556,1142006159.64,1.05
2020-12-20,Cardano,ADA,5039863586.81,0.162,31112484646,729191687.34,5.21
2020-12-20,Binance Coin,BNB,4932970915.74,34.16,144406561,583559932.35,17.38
2020-12-20,Polkadot,DOT,4628079243.35,5.188,891992110,519415555.21,6.08
2020-12-27,Bitcoin,BTC,488213268382.01,26272.29,18582818,66479895605.09,11.91
2020-12-27,Ethereum,ETH,77828069141.05,682.64,114010020,26093552820.75,6.95
2020-12-27,Tether,USDT,20729387121.49,0.999,20753166934,95264858228.06,-0.08
2020-12-27,XRP,XRP,12851124973.13,0.283,45404028640,9250325477.88,-49.1
2020-12-27,Litecoin,LTC,8439551136.23,127.52,66183749,14103307412.12,11.21
2020-12-27,Bitcoin Cash,BCH,6290438770.71,338.18,18600863,7057534741.82,-2.87
2020-12-27,Binance Coin,BNB,4839330613.85,33.51,144406561,567285548.22,-1.9
2020-12-27,Chainlink,LINK,4833804693.48,12.13,398509556,2199716490.96,-7.19
2020-12-27,Cardano,ADA,4804453143.56,0.154,31112484646,1578354821.33,-4.67
2020-12-27,Polkadot,DOT,4592307413.22,5.136,894107647,784179880.73,-1.01
2021-01-03,Bitcoin,BTC,609409213147.03,32782.02,18589737,78665235201.84,24.78
2021-01-03,Ethereum,ETH,111309985610.91,975.51,114104675,45200463368.21,42.9
2021-01-03,Tether,USDT,21340101768.04,1.0,21329136250,120425679796.27,0.17
2021-01-03,Litecoin,LTC,10610100156.81,160.19,66234230,15385661270.67,25.62
2021-01-03,XRP,XRP,10254417776.8,0.226,45404028640,5109898871.42,-20.21
2021-01-03,Polkadot,DOT,8995148461.43,10.03,896530965,3032883074.26,95.34
2021-01-03,Bitcoin Cash,BCH,7845655333.38,421.79,18600863,7273123206.61,24.72
2021-01-03,Cardano,ADA,6377915101.91,0.205,31112484646,2303857908.87,32.75
2021-01-03,Binance Coin,BNB,5942182740.66,41.15,144406561,758008613.17,22.79
2021-01-03,Chainlink,LINK,5453374284.89,13.65,399509556,2298964833.06,12.54
2021-01-10,Bitcoin,BTC,713304617760.95,38356.44,18596737,79980747690.35,17.0
2021-01-10,Ethereum,ETH,144147690008.65,1262.25,114199304,40616938052.61,29.39
2021-01-10,Tether,USDT,24229726418.89,1.0,24224312725,135437984723.47,-0.03
2021-01-10,XRP,XRP,14453755388.35,0.318,45404028640,9647740012.28,40.95
2021-01-10,Litecoin,LTC,11335608545.88,171.11,66245618,12774461582.48,6.82
2021-01-10,Bitcoin Cash,BCH,11227411339.17,603.6,18600863,18670984543.78,43.1
2021-01-10,Cardano,ADA,9486050469.15,0.305,31112484646,3732911205.62,48.73
2021-01-10,Polkadot,DOT,8361125118.44,9.305,898558018,1603968712.26,-7.26
2021-01-10,Chainlink,LINK,6507250898.17,16.25,400509556,3058197027.37,19.03
2021-01-10,Stellar,XLM,6362493022.63,0.289,22034677966,1949483668.04,111.66
2021-01-17,Bitcoin,BTC,665831621390.99,35791.28,18603181,52359854336.21,-6.69
2021-01-17,Ethereum,ETH,140601384429.82,1230.17,114294061,29258032819.26,-2.54
2021-01-17,Tether,USDT,24335202163.05,1.0,24325132871,91132972168.09,0.02
2021-01-17,Polkadot,DOT,15306722569.89,16.98,901230178,6091648732.2,82.53
2021-01-17,XRP,XRP,12594335138.24,0.277,45404028640,3488557208.01,-12.86
2021-01-17,Cardano,ADA,11818146766.16,0.38,31112484646,5617481333.52,24.58
2021-01-17,Litecoin,LTC,9443391846.2,142.43,66301604,6098835632.65,-16.76
2021-01-17,Chainlink,LINK,9301680726.27,23.17,401509556,5027606263.36,42.59
2021-01-17,Bitcoin Cash,BCH,8919517290.65,478.77,18630075,4635690837.55,-20.68
2021-01-17,Stellar,XLM,6707475316.09,0.304,22095601011,1884116937.06,5.13
2021-01-24,Bitcoin,BTC,600888568009.5,32289.38,18609481,48643830599.36,-9.78
2021-01-24,Ethereum,ETH,159184556292.12,1391.61,114388819,36418163553.77,13.12
2021-01-24,Tether,USDT,24852549110.9,1.001,24817394865,84413124756.06,0.1
2021-01-24,Polkadot,DOT,16268654954.28,18.0,903831755,2800444853.84,5.98
2021-01-24,XRP,XRP,12418387933.0,0.274,45404028640,2472431874.99,-1.4
2021-01-24,Cardano,ADA,11010118426.55,0.354,31112484646,2539663711.43,-6.84
2021-01-24,Chainlink,LINK,9942734312.55,24.7,402509556,3727726939.58,6.63
